Dates,Price
2015-11-16,25.831
2015-11-17,25.7245
2015-11-18,26.5297
2015-11-19,26.8756
2015-11-20,26.9959
2015-11-23,26.6342
2015-11-24,26.8973
2015-11-25,26.7021
2015-11-27,26.6479
2015-11-30,26.7663
2015-12-01,26.5366
2015-12-02,26.3109
2015-12-03,26.0655
2015-12-04,26.9318
2015-12-07,26.7613
2015-12-08,26.7484
2015-12-09,26.1572
2015-12-10,26.284300000000002
2015-12-11,25.6093
2015-12-14,25.4448
2015-12-15,24.9982
2015-12-16,25.1874
2015-12-17,24.6532
2015-12-18,23.9919
2015-12-21,24.2809
2015-12-22,24.2612
2015-12-23,24.5735
2015-12-24,24.4453
2015-12-28,24.1625
2015-12-29,24.5982
2015-12-30,24.2789
2015-12-31,23.8177
2016-01-04,23.8381
2016-01-05,23.2372
2016-01-06,22.7829
2016-01-07,21.821
2016-01-08,21.9353
2016-01-11,22.292
2016-01-12,22.6142
2016-01-13,22.0318
2016-01-14,22.5168
2016-01-15,21.9736
2016-01-19,21.8683
2016-01-20,21.8978
2016-01-21,21.7883
2016-01-22,22.9445
2016-01-25,22.498
2016-01-26,22.6211
2016-01-27,21.1369
2016-01-28,21.2848
2016-01-29,22.0199
2016-02-01,21.8171
2016-02-02,21.3735
2016-02-03,21.7992
2016-02-04,21.9716
2016-02-05,21.3844
2016-02-08,21.613
2016-02-09,21.6081
2016-02-10,21.4424
2016-02-11,21.3115
2016-02-12,21.3785
2016-02-16,21.9806
2016-02-17,22.3206
2016-02-18,21.8959
2016-02-19,21.8466
2016-02-22,22.0357
2016-02-23,21.5392
2016-02-24,21.8604
2016-02-25,22.0093
2016-02-26,22.0426
2016-02-29,21.9925
2016-03-01,22.8666
2016-03-02,22.9167
2016-03-03,23.0913
2016-03-04,23.4352
2016-03-07,23.1732
2016-03-08,22.9807
2016-03-09,23.0025
2016-03-10,23.0145
2016-03-11,23.2598
2016-03-14,23.319
2016-03-15,23.7919
2016-03-16,24.1005
2016-03-17,24.062
2016-03-18,24.0906
2016-03-21,24.0877
2016-03-22,24.2729
2016-03-23,24.1389
2016-03-24,24.0354
2016-03-28,23.9278
2016-03-29,24.4976
2016-03-30,24.9224
2016-03-31,24.7912
2016-04-01,25.0179
2016-04-04,25.2741
2016-04-05,24.9814
2016-04-06,25.2387
2016-04-07,24.6879
2016-04-08,24.7173
2016-04-11,24.7982
2016-04-12,25.1214
2016-04-13,25.4808
2016-04-14,25.4938
2016-04-15,24.9914
2016-04-18,24.4523
2016-04-19,24.3183
2016-04-20,24.3704
2016-04-21,24.1005
2016-04-22,24.0384
2016-04-25,23.9025
2016-04-26,23.7359
2016-04-27,22.2487
2016-04-28,21.5705
2016-04-29,21.3214
2016-05-02,21.2977
2016-05-03,21.6504
2016-05-04,21.4236
2016-05-05,21.336
2016-05-06,21.2198
2016-05-09,21.2358
2016-05-10,21.3785
2016-05-11,21.1725
2016-05-12,20.6729
2016-05-13,20.7131
2016-05-16,21.485
2016-05-17,21.3943
2016-05-18,21.6406
2016-05-19,21.558
2016-05-20,21.7933
2016-05-23,22.0674
2016-05-24,22.4043
2016-05-25,22.7927
2016-05-26,22.9787
2016-05-27,22.9654
2016-05-31,22.8527
2016-06-01,22.5334
2016-06-02,22.3651
2016-06-03,22.409300000000002
2016-06-06,22.5729
2016-06-07,22.6626
2016-06-08,22.6419
2016-06-09,22.8045
2016-06-10,22.6191
2016-06-13,22.2762
2016-06-14,22.3048
2016-06-15,22.2309
2016-06-16,22.3246
2016-06-17,21.8171
2016-06-20,21.7659
2016-06-21,21.9481
2016-06-22,21.8703
2016-06-23,21.9915
2016-06-24,21.3735
2016-06-27,21.065
2016-06-28,21.4181
2016-06-29,21.6051
2016-06-30,21.879
2016-07-01,21.9432
2016-07-05,21.7521
2016-07-06,21.8623
2016-07-07,21.955
2016-07-08,22.1255
2016-07-11,22.1946
2016-07-12,22.295
2016-07-13,22.1688
2016-07-14,22.6044
2016-07-15,22.6044
2016-07-18,22.8458
2016-07-19,22.8557
2016-07-20,22.8755
2016-07-21,22.7551
2016-07-22,22.5789
2016-07-25,22.2762
2016-07-26,22.1225
2016-07-27,23.5585
2016-07-28,23.8787
2016-07-29,23.85
2016-08-01,24.2689
2016-08-02,23.9102
2016-08-03,24.2099
2016-08-04,24.3605
2016-08-05,24.7272
2016-08-08,24.9362
2016-08-09,25.0377
2016-08-10,24.8534
2016-08-11,24.8355
2016-08-12,24.8927
2016-08-15,25.1874
2016-08-16,25.1677
2016-08-17,25.1272
2016-08-18,25.0988
2016-08-19,25.1629
2016-08-22,24.9686
2016-08-23,25.0475
2016-08-24,24.8574
2016-08-25,24.7469
2016-08-26,24.6022
2016-08-29,24.5804
2016-08-30,24.3882
2016-08-31,24.4157
2016-09-01,24.5605
2016-09-02,24.7862
2016-09-06,24.7785
2016-09-07,24.9342
2016-09-08,24.2789
2016-09-09,23.729
2016-09-12,24.263
2016-09-13,24.8405
2016-09-14,25.7195
2016-09-15,26.5859
2016-09-16,26.4439
2016-09-19,26.1325
2016-09-20,26.1305
2016-09-21,26.1247
2016-09-22,26.369
2016-09-23,25.9334
2016-09-26,25.9699
2016-09-27,26.0191
2016-09-28,26.2212
2016-09-29,25.8144
2016-09-30,26.0094
2016-10-03,25.8922
2016-10-04,25.9964
2016-10-05,26.0094
2016-10-06,26.2093
2016-10-07,26.2489
2016-10-10,26.7021
2016-10-11,26.7613
2016-10-12,27.0029
2016-10-13,26.917
2016-10-14,27.0678
2016-10-17,27.05
2016-10-18,27.0302
2016-10-19,26.9514
2016-10-20,26.9368
2016-10-21,26.8292
2016-10-24,27.0717
2016-10-25,27.2045
2016-10-26,26.5909
2016-10-27,26.3424
2016-10-28,26.167
2016-10-31,26.1227
2016-11-01,25.6544
2016-11-02,25.6774
2016-11-03,25.4001
2016-11-04,25.1697
2016-11-07,25.5336
2016-11-08,25.6872
2016-11-09,25.6448
2016-11-10,24.9293
2016-11-11,25.08
2016-11-14,24.4523
2016-11-15,24.7685
2016-11-16,25.4348
2016-11-17,25.4248
2016-11-18,25.4498
2016-11-21,25.8406
2016-11-22,25.8584
2016-11-23,25.7265
2016-11-25,25.8555
2016-11-28,25.8044
2016-11-29,25.7776
2016-11-30,25.5598
2016-12-01,25.3214
2016-12-02,25.412
2016-12-05,25.232
2016-12-06,25.4248
2016-12-07,25.6804
2016-12-08,25.9304
2016-12-09,26.3552
2016-12-12,26.2064
2016-12-13,26.637
2016-12-14,26.637
2016-12-15,26.7858
2016-12-16,26.8233
2016-12-19,26.981
2016-12-20,27.05
2016-12-21,27.0747
2016-12-22,26.8973
2016-12-23,26.9514
2016-12-27,27.119
2016-12-28,27.0058
2016-12-29,27.0029
2016-12-30,26.7858
2017-01-03,26.8638
2017-01-04,26.8342
2017-01-05,26.9731
2017-01-06,27.2688
2017-01-09,27.5182
2017-01-10,27.5477
2017-01-11,27.6955
2017-01-12,27.5832
2017-01-13,27.5309
2017-01-17,27.7525
2017-01-18,27.7506
2017-01-19,27.7034
2017-01-20,27.7525
2017-01-23,27.7744
2017-01-24,27.7446
2017-01-25,28.1883
2017-01-26,28.201
2017-01-27,28.2039
2017-01-30,28.1261
2017-01-31,28.0669
2017-02-01,29.775
2017-02-02,29.7297
2017-02-03,29.8479
2017-02-06,30.1386
2017-02-07,30.4166
2017-02-08,30.5309
2017-02-09,30.7625
2017-02-10,30.6906
2017-02-13,30.9645
2017-02-14,31.3605
2017-02-15,31.477
2017-02-16,31.4402
2017-02-17,31.5271
2017-02-21,31.7548
2017-02-22,31.8497
2017-02-23,31.7066
2017-02-24,31.7458
2017-02-27,31.8058
2017-02-28,31.8198
2017-03-01,32.4732
2017-03-02,32.2742
2017-03-03,32.4712
2017-03-06,32.3649
2017-03-07,32.4082
2017-03-08,32.2841
2017-03-09,32.2091
2017-03-10,32.3176
2017-03-13,32.3332
2017-03-14,32.2811
2017-03-15,32.6281
2017-03-16,32.6792
2017-03-17,32.5155
2017-03-20,32.8588
2017-03-21,32.4831
2017-03-22,32.8488
2017-03-23,32.7313
2017-03-24,32.6693
2017-03-27,32.7214
2017-03-28,33.4016
2017-03-29,33.4735
2017-03-30,33.431
2017-03-31,33.3669
2017-04-03,33.3769
2017-04-04,33.6273
2017-04-05,33.4539
2017-04-06,33.3669
2017-04-07,33.2912
2017-04-10,33.2517
2017-04-11,32.895
2017-04-12,32.9373
2017-04-13,32.763
2017-04-17,32.9443
2017-04-18,32.7975
2017-04-19,32.6763
2017-04-20,33.0872
2017-04-21,33.0497
2017-04-24,33.3621
2017-04-25,33.5721
2017-04-26,33.3719
2017-04-27,33.3987
2017-04-28,33.365
2017-05-01,34.0482
2017-05-02,34.2661
2017-05-03,34.1633
2017-05-04,34.0353
2017-05-05,34.6008
2017-05-08,35.5402
2017-05-09,35.7716
2017-05-10,35.5964
2017-05-11,35.9038
2017-05-12,36.4085
2017-05-15,36.3138
2017-05-16,36.2625
2017-05-17,35.0435
2017-05-18,35.5795
2017-05-19,35.6987
2017-05-22,35.9135
2017-05-23,35.8772
2017-05-24,35.7667
2017-05-25,35.892
2017-05-26,35.8308
2017-05-30,35.8454
2017-05-31,35.6259
2017-06-01,35.7273
2017-06-02,36.2596
2017-06-05,35.9019
2017-06-06,36.0219
2017-06-07,36.2399
2017-06-08,36.1483
2017-06-09,34.7448
2017-06-12,33.9151
2017-06-13,34.196
2017-06-14,33.853
2017-06-15,33.6567
2017-06-16,33.1818
2017-06-19,34.1339
2017-06-20,33.8203
2017-06-21,34.0223
2017-06-22,33.9674
2017-06-23,34.1191
2017-06-26,34.0103
2017-06-27,33.5227
2017-06-28,34.0123
2017-06-29,33.5099
2017-06-30,33.5917
2017-07-03,33.4676
2017-07-05,33.6076
2017-07-06,33.2872
2017-07-07,33.6303
2017-07-10,33.8333
2017-07-11,33.9425
2017-07-12,33.992
2017-07-13,34.4638
2017-07-14,34.7606
2017-07-17,34.8847
2017-07-18,35.005
2017-07-19,35.2248
2017-07-20,35.064
2017-07-21,35.0465
2017-07-24,35.474
2017-07-25,35.6229
2017-07-26,35.7964
2017-07-27,35.1154
2017-07-28,34.8719
2017-07-31,34.6857
2017-08-01,34.9971
2017-08-02,36.6487
2017-08-03,36.284
2017-08-04,36.4794
2017-08-07,37.044
2017-08-08,37.3288
2017-08-09,37.5663
2017-08-10,36.3689
