Dates,Price
2015-11-16,171.916
2015-11-17,171.686
2015-11-18,172.811
2015-11-19,171.385
2015-11-20,173.612
2015-11-23,173.215
2015-11-24,173.612
2015-11-25,171.916
2015-11-27,171.916
2015-11-30,169.54
2015-12-01,170.823
2015-12-02,169.706
2015-12-03,170.03
2015-12-04,172.645
2015-12-07,171.972
2015-12-08,170.943
2015-12-09,172.534
2015-12-10,173.564
2015-12-11,171.338
2015-12-14,171.338
2015-12-15,171.686
2015-12-16,175.434
2015-12-17,174.285
2015-12-18,172.74
2015-12-21,173.429
2015-12-22,173.952
2015-12-23,176.573
2015-12-24,175.884
2015-12-28,176.273
2015-12-29,178.442
2015-12-30,177.128
2015-12-31,177.706
2016-01-04,175.195
2016-01-05,175.37
2016-01-06,172.566
2016-01-07,165.295
2016-01-08,162.293
2016-01-11,163.03
2016-01-12,163.385
2016-01-13,161.121
2016-01-14,165.793
2016-01-15,162.515
2016-01-19,162.515
2016-01-20,159.735
2016-01-21,163.091
2016-01-22,161.121
2016-01-25,159.947
2016-01-26,161.501
2016-01-27,159.735
2016-01-28,160.946
2016-01-29,166.024
2016-02-01,163.385
2016-02-02,161.121
2016-02-03,163.528
2016-02-04,166.467
2016-02-05,162.8
2016-02-08,160.709
2016-02-09,161.342
2016-02-10,161.438
2016-02-11,156.606
2016-02-12,161.232
2016-02-16,164.661
2016-02-17,167.377
2016-02-18,165.912
2016-02-19,165.564
2016-02-22,167.766
2016-02-23,166.703
2016-02-24,165.231
2016-02-25,168.066
2016-02-26,169.065
2016-02-29,167.583
2016-03-01,171.82
2016-03-02,173.564
2016-03-03,173.793
2016-03-04,175.156
2016-03-07,174.182
2016-03-08,172.867
2016-03-09,172.803
2016-03-10,172.17
2016-03-11,174.474
2016-03-14,174.055
2016-03-15,174.119
2016-03-16,173.5
2016-03-17,178.032
2016-03-18,177.809
2016-03-21,178.777
2016-03-22,178.602
2016-03-23,178.658
2016-03-24,178.895
2016-03-28,181.073
2016-03-29,181.026
2016-03-30,183.036
2016-03-31,182.8
2016-04-01,183.624
2016-04-04,179.584
2016-04-05,178.15
2016-04-06,177.69
2016-04-07,176.145
2016-04-08,177.048
2016-04-11,176.605
2016-04-12,177.176
2016-04-13,178.15
2016-04-14,178.378
2016-04-15,178.434
2016-04-18,178.602
2016-04-19,179.132
2016-04-20,179.132
2016-04-21,178.15
2016-04-22,176.884
2016-04-25,176.423
2016-04-26,177.69
2016-04-27,177.865
2016-04-28,177.69
2016-04-29,176.828
2016-05-02,177.626
2016-05-03,176.145
2016-05-04,172.923
2016-05-05,171.884
2016-05-06,173.207
2016-05-09,171.765
2016-05-10,175.275
2016-05-11,174.474
2016-05-12,173.041
2016-05-13,170.436
2016-05-16,172.282
2016-05-17,170.831
2016-05-18,170.254
2016-05-19,168.828
2016-05-20,169.99
2016-05-23,169.579
2016-05-24,171.646
2016-05-25,173.041
2016-05-26,172.621
2016-05-27,173.207
2016-05-31,173.856
2016-06-01,173.159
2016-06-02,172.803
2016-06-03,172.17
