Dates,Price
2015-11-16,25.214
2015-11-17,25.6421
2015-11-18,26.0463
2015-11-19,26.9413
2015-11-20,27.2241
2015-11-23,27.0818
2015-11-24,26.9902
2015-11-25,27.0592
2015-11-27,27.0649
2015-11-30,27.313
2015-12-01,27.5621
2015-12-02,27.358
2015-12-03,26.7391
2015-12-04,27.445
2015-12-07,27.4845
2015-12-08,27.2979
2015-12-09,27.3411
2015-12-10,27.313
2015-12-11,26.9188
2015-12-14,27.0724
2015-12-15,27.6341
2015-12-16,27.7297
2015-12-17,27.4216
2015-12-18,26.6034
2015-12-21,26.8944
2015-12-22,27.2802
2015-12-23,27.4908
2015-12-24,27.4769
2015-12-28,27.4375
2015-12-29,27.8382
2015-12-30,27.4845
2015-12-31,27.0592
2016-01-04,26.6998
2016-01-05,26.5735
2016-01-06,25.9835
2016-01-07,25.0117
2016-01-08,24.7516
2016-01-11,25.1832
2016-01-12,25.6691
2016-01-13,25.0652
2016-01-14,25.7158
2016-01-15,23.3754
2016-01-19,23.4091
2016-01-20,23.2425
2016-01-21,23.2977
2016-01-22,23.5073
2016-01-25,23.2508
2016-01-26,23.5195
2016-01-27,23.4165
2016-01-28,23.5411
2016-01-29,24.3687
2016-02-01,24.2111
2016-02-02,23.4091
2016-02-03,23.249
2016-02-04,23.5907
2016-02-05,23.01
2016-02-08,22.8361
2016-02-09,22.8276
2016-02-10,22.3689
2016-02-11,22.3605
2016-02-12,22.6927
2016-02-16,22.8051
2016-02-17,23.3509
2016-02-18,23.3135
2016-02-19,22.7508
2016-02-22,23.2582
2016-02-23,22.8191
2016-02-24,23.1309
2016-02-25,23.469
2016-02-26,23.6131
2016-02-29,23.4493
2016-03-01,24.069
2016-03-02,24.203
2016-03-03,24.2311
2016-03-04,24.2702
2016-03-07,24.5186
2016-03-08,24.218
2016-03-09,24.4567
2016-03-10,24.7646
2016-03-11,25.168
2016-03-14,24.9059
2016-03-15,25.0792
2016-03-16,25.1109
2016-03-17,25.3404
2016-03-18,25.8937
2016-03-21,25.6286
2016-03-22,25.612
2016-03-23,25.3556
2016-03-24,25.2617
2016-03-28,25.2776
2016-03-29,25.6577
2016-03-30,25.9208
2016-03-31,25.6382
2016-04-01,25.712
2016-04-04,25.3556
2016-04-05,25.2776
2016-04-06,25.42
2016-04-07,25.0006
2016-04-08,25.0633
2016-04-11,25.0961
2016-04-12,25.245
2016-04-13,25.4602
2016-04-14,25.1981
2016-04-15,24.9305
2016-04-18,25.0792
2016-04-19,25.0399
2016-04-20,25.3556
2016-04-21,25.3329
2016-04-22,25.0717
2016-04-25,24.8732
2016-04-26,24.8828
2016-04-27,25.1589
2016-04-28,24.6551
2016-04-29,23.9913
2016-05-02,24.2554
2016-05-03,24.0615
2016-05-04,23.8565
2016-05-05,23.8968
2016-05-06,24.0073
2016-05-09,23.82
2016-05-10,24.0896
2016-05-11,24.0249
2016-05-12,23.7844
2016-05-13,23.9061
2016-05-16,24.2872
2016-05-17,23.9624
2016-05-18,23.9687
2016-05-19,23.6825
2016-05-20,24.0961
2016-05-23,24.1606
2016-05-24,24.8216
2016-05-25,25.0878
2016-05-26,25.169
2016-05-27,25.2318
2016-05-31,25.2392
2016-06-01,25.305
2016-06-02,25.3843
2016-06-03,25.2712
2016-06-06,25.3218
2016-06-07,25.4818
2016-06-08,25.4893
2016-06-09,25.5277
2016-06-10,25.6091
2016-06-13,25.7195
2016-06-14,25.6858
2016-06-15,25.2645
2016-06-16,25.3283
2016-06-17,25.3843
2016-06-20,25.7102
2016-06-21,25.8319
2016-06-22,25.814
2016-06-23,26.3692
2016-06-24,25.2168
2016-06-27,24.553
2016-06-28,24.9295
2016-06-29,25.5203
2016-06-30,26.2147
2016-07-01,26.1756
2016-07-05,26.1203
2016-07-06,26.3516
2016-07-07,26.5339
2016-07-08,27.1762
2016-07-11,27.4787
2016-07-12,27.9235
2016-07-13,27.9843
2016-07-14,28.1332
2016-07-15,28.0293
2016-07-18,28.0125
2016-07-19,28.0957
2016-07-20,28.5263
2016-07-21,27.3898
2016-07-22,27.7016
2016-07-25,27.7278
2016-07-26,28.0451
2016-07-27,27.8382
2016-07-28,27.7877
2016-07-29,27.8628
2016-08-01,27.8551
2016-08-02,27.6221
2016-08-03,27.5835
2016-08-04,27.8484
2016-08-05,28.1697
2016-08-08,28.2097
2016-08-09,28.1209
2016-08-10,27.8064
2016-08-11,27.9254
2016-08-12,27.8401
2016-08-15,28.1134
2016-08-16,28.3539
2016-08-17,28.2014
2016-08-18,28.1613
2016-08-19,28.3784
2016-08-22,28.4739
2016-08-23,28.5087
2016-08-24,28.3093
2016-08-25,28.2565
2016-08-26,28.4028
2016-08-29,28.6285
2016-08-30,28.7501
2016-08-31,28.9027
2016-09-01,29.0065
2016-09-02,29.0553
2016-09-06,29.4476
2016-09-07,29.3613
2016-09-08,29.3447
2016-09-09,28.5403
2016-09-12,29.0553
2016-09-13,28.6752
2016-09-14,28.693
2016-09-15,29.4476
2016-09-16,30.3351
2016-09-19,29.9261
2016-09-20,29.9081
2016-09-21,30.1581
2016-09-22,30.2396
2016-09-23,29.9503
2016-09-26,29.516
2016-09-27,29.941
2016-09-28,30.1496
2016-09-29,30.0544
2016-09-30,30.3988
2016-10-03,30.3285
2016-10-04,30.2312
2016-10-05,30.5927
2016-10-06,30.6608
2016-10-07,30.6807
2016-10-10,30.6187
2016-10-11,30.014
2016-10-12,29.8997
2016-10-13,29.7724
2016-10-14,30.1581
2016-10-17,30.0289
2016-10-18,30.3988
2016-10-19,28.5975
2016-10-20,28.5349
2016-10-21,28.3093
2016-10-24,28.3961
2016-10-25,28.2661
2016-10-26,28.1209
2016-10-27,28.0313
2016-10-28,27.9796
2016-10-31,28.0816
2016-11-01,27.7972
2016-11-02,27.8643
2016-11-03,27.5304
2016-11-04,27.2707
2016-11-07,28.1489
2016-11-08,28.1875
2016-11-09,28.1958
2016-11-10,27.9945
2016-11-11,28.0836
2016-11-14,27.9806
2016-11-15,28.3269
2016-11-16,28.2604
2016-11-17,28.415
2016-11-18,28.3579
2016-11-21,28.3831
2016-11-22,28.7885
2016-11-23,28.56
2016-11-25,28.7567
2016-11-28,28.8118
2016-11-29,28.6516
2016-11-30,28.1575
2016-12-01,27.3925
2016-12-02,27.7193
2016-12-05,27.9037
2016-12-06,28.1725
2016-12-07,28.8034
2016-12-08,28.9664
2016-12-09,29.016
2016-12-12,29.1862
2016-12-13,29.8594
2016-12-14,29.6584
2016-12-15,29.8509
2016-12-16,29.4605
2016-12-19,29.9333
2016-12-20,30.1919
2016-12-21,30.0056
2016-12-22,29.9588
2016-12-23,29.9972
2016-12-27,30.0786
2016-12-28,29.7201
2016-12-29,29.7453
2016-12-30,29.4306
2017-01-03,29.6965
2017-01-04,29.5524
2017-01-05,29.4925
2017-01-06,29.5991
2017-01-09,29.7051
2017-01-10,29.6497
2017-01-11,29.9811
2017-01-12,29.7863
2017-01-13,29.8509
2017-01-17,29.8594
2017-01-18,29.8278
2017-01-19,29.6741
2017-01-20,29.9652
2017-01-23,29.836
2017-01-24,30.5167
2017-01-25,30.6712
2017-01-26,30.4773
2017-01-27,30.8181
2017-01-30,30.3511
2017-01-31,29.8773
2017-02-01,29.632
2017-02-02,29.7629
2017-02-03,29.8445
2017-02-06,29.6395
2017-02-07,29.7051
2017-02-08,29.7294
2017-02-09,28.9767
2017-02-10,28.8804
2017-02-13,29.2557
2017-02-14,29.3613
2017-02-15,29.4577
2017-02-16,29.7548
2017-02-17,29.8117
2017-02-21,29.8445
2017-02-22,29.4737
2017-02-23,29.5591
2017-02-24,29.8519
2017-02-27,29.8369
2017-02-28,29.5806
2017-03-01,29.3613
2017-03-02,29.3447
2017-03-03,29.3361
2017-03-06,29.0694
2017-03-07,29.2557
2017-03-08,29.1058
2017-03-09,29.2725
2017-03-10,29.3447
2017-03-13,28.7323
2017-03-14,28.7492
2017-03-15,28.6826
2017-03-16,28.7172
2017-03-17,28.8232
2017-03-20,28.9541
2017-03-21,28.6341
2017-03-22,28.9045
2017-03-23,28.8232
2017-03-24,28.7323
2017-03-27,28.9204
2017-03-28,29.0926
2017-03-29,29.0694
2017-03-30,29.2145
2017-03-31,29.4737
2017-04-03,29.5514
2017-04-04,29.6489
2017-04-05,29.59
2017-04-06,29.4419
2017-04-07,29.4419
2017-04-10,29.2557
2017-04-11,29.206
2017-04-12,29.1142
2017-04-13,28.8054
2017-04-17,28.9935
2017-04-18,29.2265
2017-04-19,29.3447
2017-04-20,29.5657
2017-04-21,29.6815
2017-04-24,30.0308
2017-04-25,30.131
2017-04-26,30.1786
2017-04-27,30.5861
2017-04-28,29.5449
2017-05-01,29.6733
2017-05-02,30.2125
2017-05-03,30.4437
2017-05-04,30.3369
2017-05-05,30.3125
2017-05-08,30.0824
2017-05-09,29.942
2017-05-10,29.6459
2017-05-11,29.3839
2017-05-12,29.2518
2017-05-15,29.3314
2017-05-16,29.4888
2017-05-17,28.8476
2017-05-18,28.9954
2017-05-19,29.1443
2017-05-22,29.4476
2017-05-23,29.5243
2017-05-24,29.736
2017-05-25,29.8509
2017-05-26,29.8509
2017-05-30,29.7863
2017-05-31,29.7275
2017-06-01,29.736
2017-06-02,29.8997
2017-06-05,29.9175
2017-06-06,29.7434
2017-06-07,29.8509
2017-06-08,30.0317
2017-06-09,29.4007
2017-06-12,29.4169
2017-06-13,29.5412
2017-06-14,29.2518
2017-06-15,29.0713
2017-06-16,28.9868
2017-06-19,29.234
2017-06-20,28.7005
2017-06-21,28.4692
2017-06-22,28.2885
2017-06-23,28.1489
2017-06-26,28.0479
2017-06-27,27.7026
2017-06-28,28.1575
2017-06-29,27.6145
2017-06-30,27.7764
2017-07-03,27.5442
2017-07-05,28.2708
2017-07-06,27.6846
2017-07-07,27.8917
2017-07-10,27.6979
2017-07-11,27.9235
2017-07-12,28.1958
2017-07-13,28.1875
2017-07-14,28.5488
2017-07-17,28.3775
2017-07-18,28.428
2017-07-19,28.4532
2017-07-20,28.608
2017-07-21,28.5936
2017-07-24,28.4018
2017-07-25,28.5412
2017-07-26,28.608
2017-07-27,28.7885
2017-07-28,29.0713
2017-07-31,29.2014
2017-08-01,29.9261
2017-08-02,30.1639
2017-08-03,30.2639
2017-08-04,30.1065
2017-08-07,30.2142
2017-08-08,30.1975
2017-08-09,30.3473
2017-08-10,29.9738
2017-08-11,29.7491
2017-08-14,30.1413
2017-08-15,29.8577
2017-08-16,29.6993
2017-08-17,29.1696
2017-08-18,29.0365
2017-08-21,28.9607
2017-08-22,28.7378
2017-08-23,28.7454
2017-08-24,28.7875
2017-08-25,28.7538
2017-08-28,28.7286
2017-08-29,28.8034
2017-08-30,28.9364
2017-08-31,29.0863
2017-09-01,29.1011
2017-09-05,29.0459
2017-09-06,29.6594
2017-09-07,29.4737
2017-09-08,29.1769
2017-09-11,29.6684
2017-09-12,29.9325
2017-09-13,30.1329
2017-09-14,30.2565
2017-09-15,30.6853
2017-09-18,30.6853
2017-09-19,30.8772
2017-09-20,30.7442
2017-09-21,30.8518
2017-09-22,30.8342
2017-09-25,30.819
2017-09-26,31.0765
2017-09-27,31.1355
2017-09-28,31.3762
2017-09-29,31.5831
2017-10-02,32.4023
2017-10-03,32.6597
2017-10-04,32.6298
2017-10-05,32.7852
2017-10-06,32.8668
2017-10-09,33.0586
2017-10-10,32.8835
2017-10-11,32.5952
2017-10-12,32.5043
2017-10-13,32.9023
2017-10-16,32.9771
2017-10-17,33.0005
2017-10-18,33.3805
2017-10-19,33.2487
2017-10-20,33.5323
2017-10-23,33.8637
2017-10-24,33.9629
2017-10-25,33.8225
2017-10-26,34.2934
2017-10-27,36.821
2017-10-30,36.7996
2017-10-31,37.7275
2017-11-01,38.7403
2017-11-02,39.0643
2017-11-03,38.4333
2017-11-06,38.9586
2017-11-07,39.026
2017-11-08,38.9586
2017-11-09,38.6253
2017-11-10,38.0253
2017-11-13,38.1666
2017-11-14,38.2573
2017-11-15,37.9259
2017-11-16,38.0813
2017-11-17,37.234
2017-11-20,37.2265
2017-11-21,37.4916
2017-11-22,37.2482
2017-11-24,37.3322
2017-11-27,37.1132
2017-11-28,37.3147
2017-11-29,36.6638
2017-11-30,37.4054
2017-12-01,37.2716
2017-12-04,37.1132
2017-12-05,36.2388
2017-12-06,36.2566
2017-12-07,35.9309
2017-12-08,36.1629
2017-12-11,36.4204
2017-12-12,36.1489
2017-12-13,36.1554
2017-12-14,36.0881
2017-12-15,37.1732
2017-12-18,38.5915
2017-12-19,39.2413
2017-12-20,39.6766
2017-12-21,39.0091
2017-12-22,38.9586
2017-12-26,38.4407
2017-12-27,38.4671
2017-12-28,38.5598
2017-12-29,38.5073
2018-01-02,39.0831
2018-01-03,37.7574
2018-01-04,37.0674
2018-01-05,37.2902
2018-01-08,37.3237
2018-01-09,36.3895
2018-01-10,35.4554
2018-01-11,36.2145
2018-01-12,36.0724
2018-01-16,35.9889
2018-01-17,37.0308
2018-01-18,37.1049
2018-01-19,37.3894
2018-01-22,38.1666
2018-01-23,38.4267
2018-01-24,37.9662
2018-01-25,37.793
2018-01-26,41.7803
2018-01-29,41.6943
2018-01-30,40.7026
2018-01-31,40.1616
2018-02-01,39.7513
2018-02-02,38.5008
2018-02-05,37.1376
2018-02-06,37.7189
2018-02-07,37.9633
2018-02-08,35.9066
2018-02-09,36.9148
2018-02-12,37.6619
2018-02-13,37.3437
2018-02-14,38.115
2018-02-15,38.5671
2018-02-16,38.2658
2018-02-20,38.9053
2018-02-21,38.584
2018-02-22,38.4681
2018-02-23,40.0875
2018-02-26,41.2475
2018-02-27,41.9207
2018-02-28,41.3974
2018-03-01,40.1793
2018-03-02,41.1389
2018-03-05,41.7859
2018-03-06,42.591
2018-03-07,43.104
2018-03-08,42.6154
2018-03-09,43.8342
2018-03-12,43.2725
2018-03-13,43.4907
2018-03-14,43.5544
2018-03-15,42.7352
2018-03-16,42.9777
2018-03-19,42.693
2018-03-20,43.2959
2018-03-21,43.3054
2018-03-22,42.693
2018-03-23,41.4573
2018-03-26,44.0777
2018-03-27,42.9954
2018-03-28,41.6565
2018-03-29,43.7424
2018-04-02,41.0876
2018-04-03,41.7859
2018-04-04,41.9862
2018-04-05,42.3148
2018-04-06,40.9787
2018-04-09,41.6182
2018-04-10,43.06
2018-04-11,42.9177
2018-04-12,44.2809
2018-04-13,43.5544
2018-04-16,44.0103
2018-04-17,44.968
2018-04-18,45.0272
2018-04-19,43.8588
2018-04-20,43.2811
2018-04-23,42.9177
2018-04-24,43.2136
2018-04-25,43.1555
2018-04-26,44.5579
2018-04-27,44.2902
2018-04-30,43.3567
2018-05-01,44.791
