Dates,Price
2015-11-16,54.6424
2015-11-17,54.329
2015-11-18,55.4146
2015-11-19,55.5846
2015-11-20,55.4883
2015-11-23,54.946
2015-11-24,54.8616
2015-11-25,54.9294
2015-11-27,55.1838
2015-11-30,54.78
2015-12-01,55.5453
2015-12-02,54.7632
2015-12-03,54.0588
2015-12-04,55.7722
2015-12-07,55.0472
2015-12-08,54.1866
2015-12-09,53.776
2015-12-10,53.8998
2015-12-11,52.6353
2015-12-14,52.7994
2015-12-15,54.3026
2015-12-16,55.4795
2015-12-17,54.4498
2015-12-18,52.9094
2015-12-21,53.8456
2015-12-22,53.9606
2015-12-23,54.8212
2015-12-24,54.7162
2015-12-28,54.5364
2015-12-29,55.0983
2015-12-30,54.7072
2015-12-31,54.2504
2016-01-04,52.6186
2016-01-05,52.708
2016-01-06,51.9486
2016-01-07,49.8491
2016-01-08,48.7281
2016-01-11,48.6574
2016-01-12,48.7625
2016-01-13,47.4225
2016-01-14,48.1357
2016-01-15,47.1749
2016-01-19,47.1484
2016-01-20,45.9114
2016-01-21,45.6944
2016-01-22,47.1022
2016-01-25,46.0333
2016-01-26,47.2093
2016-01-27,47.1749
2016-01-28,47.3763
2016-01-29,49.2095
2016-02-01,48.6829
2016-02-02,47.1651
2016-02-03,47.4814
2016-02-04,48.3017
2016-02-05,47.7604
2016-02-08,46.7603
2016-02-09,46.4803
2016-02-10,45.9194
2016-02-11,43.8906
2016-02-12,47.5473
2016-02-16,48.2585
2016-02-17,48.6043
2016-02-18,47.8135
2016-02-19,47.8223
2016-02-22,48.4433
2016-02-23,46.4155
2016-02-24,46.4312
2016-02-25,47.1484
2016-02-26,47.5875
2016-02-29,46.5658
2016-03-01,48.9629
2016-03-02,49.4237
2016-03-03,49.5897
2016-03-04,49.6645
2016-03-07,49.5721
2016-03-08,48.6122
2016-03-09,48.8961
2016-03-10,48.4717
2016-03-11,49.0759
2016-03-14,48.8961
2016-03-15,48.9629
2016-03-16,48.7281
2016-03-17,48.5887
2016-03-18,50.0221
2016-03-21,50.0033
2016-03-22,49.8216
2016-03-23,49.5721
2016-03-24,49.1939
2016-03-28,49.1289
2016-03-29,48.8215
2016-03-30,49.3815
2016-03-31,48.9797
2016-04-01,49.5151
2016-04-04,49.3265
2016-04-05,48.6221
2016-04-06,48.9993
2016-04-07,47.7565
2016-04-08,48.1073
2016-04-11,48.4914
2016-04-12,49.3893
2016-04-13,51.4849
2016-04-14,52.148
2016-04-15,51.5497
2016-04-18,51.8808
2016-04-19,52.7572
2016-04-20,53.5214
2016-04-21,52.9929
2016-04-22,53.2975
2016-04-25,52.9929
2016-04-26,53.264
2016-04-27,53.4154
2016-04-28,52.9929
2016-04-29,52.655
2016-05-02,53.1462
2016-05-03,52.1254
2016-05-04,51.2982
2016-05-05,51.0221
2016-05-06,51.3237
2016-05-09,50.9985
2016-05-10,51.6902
2016-05-11,51.4977
2016-05-12,51.4672
2016-05-13,50.9907
2016-05-16,51.3739
2016-05-17,51.3739
2016-05-18,53.3554
2016-05-19,52.8151
2016-05-20,52.9163
2016-05-23,52.874
2016-05-24,53.77
2016-05-25,54.5884
2016-05-26,54.1798
2016-05-27,54.5158
2016-05-31,54.384
2016-06-01,54.7338
2016-06-02,54.832
2016-06-03,53.8604
2016-06-06,54.3929
2016-06-07,54.2062
2016-06-08,54.3674
2016-06-09,53.9478
2016-06-10,53.1904
2016-06-13,52.7149
2016-06-14,51.7226
2016-06-15,51.6313
2016-06-16,51.8395
2016-06-17,51.8887
2016-06-20,51.9682
2016-06-21,52.4516
2016-06-22,52.2502
2016-06-23,53.3643
2016-06-24,49.6585
2016-06-27,47.9992
2016-06-28,49.5907
2016-06-29,50.9907
2016-06-30,51.7737
2016-07-01,51.4367
2016-07-05,50.0013
2016-07-06,50.5388
2016-07-07,50.8639
2016-07-08,51.9162
2016-07-11,52.2875
2016-07-12,53.068600000000004
2016-07-13,53.0322
2016-07-14,53.8398
2016-07-15,53.8908
2016-07-18,53.7062
2016-07-19,53.6217
2016-07-20,53.6796
2016-07-21,53.4802
2016-07-22,53.77
2016-07-25,53.6286
2016-07-26,53.8496
2016-07-27,54.0166
2016-07-28,53.8221
2016-07-29,53.713
2016-08-01,53.5716
2016-08-02,53.4448
2016-08-03,54.2898
2016-08-04,54.2092
2016-08-05,55.671
2016-08-08,55.503
2016-08-09,55.3076
2016-08-10,54.8124
2016-08-11,54.9628
2016-08-12,54.8488
2016-08-15,55.1838
2016-08-16,55.175
2016-08-17,55.3242
2016-08-18,55.3793
2016-08-19,55.3007
2016-08-22,55.2506
2016-08-23,55.226
2016-08-24,55.3793
2016-08-25,55.4766
2016-08-26,55.6003
2016-08-29,56.2124
2016-08-30,56.6771
2016-08-31,56.6771
2016-09-01,56.4344
2016-09-02,56.6722
2016-09-06,56.627
2016-09-07,56.3922
2016-09-08,56.4678
2016-09-09,55.9648
2016-09-12,56.3077
2016-09-13,55.8656
2016-09-14,55.7516
2016-09-15,55.955
2016-09-16,55.2673
2016-09-19,55.5777
2016-09-20,55.8037
2016-09-21,56.123
2016-09-22,56.5847
2016-09-23,56.4678
2016-09-26,55.2338
2016-09-27,55.7212
2016-09-28,56.0139
2016-09-29,55.1238
2016-09-30,55.9118
2016-10-03,55.8499
2016-10-04,56.3293
2016-10-05,57.2508
2016-10-06,57.4021
2016-10-07,57.6055
2016-10-10,58.0535
2016-10-11,57.7745
2016-10-12,57.6222
2016-10-13,57.2931
2016-10-14,57.1054
2016-10-17,56.8097
2016-10-18,57.2597
2016-10-19,57.8118
2016-10-20,57.7313
2016-10-21,57.9297
2016-10-24,58.2489
2016-10-25,58.1871
2016-10-26,58.4691
2016-10-27,58.5525
2016-10-28,58.4503
2016-10-31,58.5781
2016-11-01,58.3315
2016-11-02,58.0889
2016-11-03,57.8344
2016-11-04,57.3098
2016-11-07,59.1037
2016-11-08,59.2305
2016-11-09,61.9538
2016-11-10,64.8294
2016-11-11,64.8648
2016-11-14,67.2501
2016-11-15,67.1205
2016-11-16,65.4631
