Dates,Price
2015-11-16,33.2845
2015-11-17,33.0517
2015-11-18,33.5342
2015-11-19,34.1928
2015-11-20,33.6535
2015-11-23,34.0734
2015-11-24,34.3935
2015-11-25,34.3935
2015-11-27,34.4894
2015-11-30,34.0666
2015-12-01,34.2819
2015-12-02,34.185
2015-12-03,33.9344
2015-12-04,34.6009
2015-12-07,34.5285
2015-12-08,34.3778
2015-12-09,34.095
2015-12-10,34.1762
2015-12-11,33.7847
2015-12-14,33.9276
2015-12-15,34.4229
2015-12-16,35.0404
2015-12-17,34.7585
2015-12-18,33.9687
2015-12-21,34.1918
2015-12-22,34.6009
2015-12-23,34.9053
2015-12-24,34.7987
2015-12-28,34.7585
2015-12-29,34.9347
2015-12-30,34.8231
2015-12-31,34.3348
2016-01-04,33.8885
2016-01-05,34.0078
2016-01-06,33.8209
2016-01-07,33.266
2016-01-08,33.1799
2016-01-11,33.2327
2016-01-12,33.6653
2016-01-13,33.4481
2016-01-14,33.4735
2016-01-15,33.171
2016-01-19,33.5038
2016-01-20,33.0742
2016-01-21,33.083
2016-01-22,33.6154
2016-01-25,33.6986
2016-01-26,33.631100000000004
2016-01-27,33.6408
2016-01-28,34.0235
2016-01-29,34.3044
2016-02-01,34.3681
2016-02-02,33.9197
2016-02-03,34.1439
2016-02-04,33.9922
2016-02-05,33.9197
2016-02-08,34.0871
2016-02-09,34.6087
2016-02-10,34.0078
2016-02-11,33.8983
2016-02-12,34.4551
2016-02-16,34.6538
2016-02-17,34.7585
2016-02-18,34.8535
2016-02-19,34.9836
2016-02-22,35.1206
2016-02-23,34.92
2016-02-24,35.0962
2016-02-25,35.2958
2016-02-26,34.4796
2016-02-29,34.4708
2016-03-01,34.92
2016-03-02,34.9836
2016-03-03,35.1353
2016-03-04,35.2537
2016-03-07,35.1744
2016-03-08,35.4241
2016-03-09,35.8155
2016-03-10,36.1502
2016-03-11,36.4067
2016-03-14,36.481
2016-03-15,36.4418
2016-03-16,36.2854
2016-03-17,36.8706
2016-03-18,36.7316
2016-03-21,36.7854
2016-03-22,36.6494
2016-03-23,36.618
2016-03-24,36.7139
2016-03-28,36.8901
2016-03-29,37.4382
2016-03-30,37.5184
2016-03-31,37.3687
2016-04-01,37.722
2016-04-04,37.77
2016-04-05,37.4803
2016-04-06,37.6251
2016-04-07,37.3423
2016-04-08,37.7543
2016-04-11,37.4058
2016-04-12,37.5782
2016-04-13,37.0869
2016-04-14,36.9137
2016-04-15,37.1328
2016-04-18,37.2287
2016-04-19,37.5331
2016-04-20,35.7392
2016-04-21,35.1657
2016-04-22,35.8753
2016-04-25,36.0133
2016-04-26,35.8683
2016-04-27,35.9897
2016-04-28,35.9495
2016-04-29,36.0856
2016-05-02,36.2315
2016-05-03,36.1179
2016-05-04,36.2315
2016-05-05,36.2951
2016-05-06,36.5045
2016-05-09,36.4418
2016-05-10,36.8519
2016-05-11,36.618
2016-05-12,36.9137
2016-05-13,36.528
2016-05-16,36.7493
2016-05-17,36.0455
2016-05-18,35.8282
2016-05-19,35.7
2016-05-20,35.4034
2016-05-23,35.4181
2016-05-24,35.7392
2016-05-25,35.748
2016-05-26,35.9956
2016-05-27,36.07
2016-05-31,35.9241
2016-06-01,36.0053
