Dates,Price
2015-11-16,47.102
2015-11-17,46.7231
2015-11-18,47.4987
2015-11-19,47.5799
2015-11-20,47.7996
2015-11-23,47.7996
2015-11-24,47.8533
2015-11-25,47.357
2015-11-27,47.5709
2015-11-30,47.9401
2015-12-01,48.7068
2015-12-02,48.6979
2015-12-03,47.8094
2015-12-04,49.3164
2015-12-07,49.2286
2015-12-08,49.2108
2015-12-09,48.4967
2015-12-10,48.7528
2015-12-11,47.6833
2015-12-14,48.6365
2015-12-15,48.6883
2015-12-16,49.5119
2015-12-17,49.1317
2015-12-18,47.7459
2015-12-21,48.3641
2015-12-22,48.823
2015-12-23,49.2384
2015-12-24,49.1025
2015-12-28,49.3515
2015-12-29,49.8809
2015-12-30,49.6689
2015-12-31,48.9353
2016-01-04,48.3376
2016-01-05,48.5564
2016-01-06,47.6755
2016-01-07,46.0178
2016-01-08,46.1565
2016-01-11,46.1305
2016-01-12,46.554
2016-01-13,45.5509
2016-01-14,46.8481
2016-01-15,44.9789
2016-01-19,44.596
2016-01-20,44.7999
2016-01-21,44.5266
2016-01-22,46.1205
2016-01-25,45.6792
2016-01-26,46.0178
2016-01-27,45.1809
2016-01-28,45.9195
2016-01-29,48.5485
2016-02-01,48.2548
2016-02-02,46.7507
2016-02-03,46.0081
2016-02-04,45.8667
2016-02-05,44.2441
2016-02-08,43.582
2016-02-09,43.4678
2016-02-10,43.8476
2016-02-11,43.8301
2016-02-12,44.544
2016-02-16,45.3898
2016-02-17,46.5698
2016-02-18,46.3659
2016-02-19,46.0385
2016-02-22,46.7759
2016-02-23,45.4718
2016-02-24,45.6283
2016-02-25,46.2847
2016-02-26,45.5756
2016-02-29,45.2024
2016-03-01,46.7114
2016-03-02,47.0405
2016-03-03,46.5063
2016-03-04,46.223
2016-03-07,45.3351
2016-03-08,45.8861
2016-03-09,46.9438
2016-03-10,46.2396
2016-03-11,47.147
2016-03-14,47.2368
2016-03-15,47.6099
2016-03-16,48.282
2016-03-17,48.5584
2016-03-18,47.5192
2016-03-21,47.8504
2016-03-22,48.0358
2016-03-23,47.946
2016-03-24,48.1628
2016-03-28,47.565
2016-03-29,48.6043
2016-03-30,48.9043
2016-03-31,49.0645
2016-04-01,49.3682
2016-04-04,49.2449
2016-04-05,48.4716
2016-04-06,48.9696
2016-04-07,48.3836
2016-04-08,48.3485
2016-04-11,48.2458
2016-04-12,48.5505
2016-04-13,49.1737
2016-04-14,49.1816
2016-04-15,49.4365
2016-04-18,50.1593
2016-04-19,50.0957
2016-04-20,49.3857
2016-04-21,49.5548
2016-04-22,46.0014
2016-04-25,46.2933
2016-04-26,45.6976
2016-04-27,45.2552
2016-04-28,44.332
2016-04-29,44.3147
2016-05-02,44.9631
2016-05-03,44.2247
2016-05-04,44.3047
2016-05-05,44.3693
2016-05-06,44.7668
2016-05-09,44.4826
2016-05-10,45.3254
2016-05-11,45.3529
2016-05-12,45.761
2016-05-13,45.38
2016-05-16,46.0483
2016-05-17,45.1887
2016-05-18,45.4574
2016-05-19,45.0187
2016-05-20,45.2835
2016-05-23,44.758
2016-05-24,46.1516
2016-05-25,46.644
2016-05-26,46.4254
2016-05-27,46.7994
2016-05-31,47.4166
2016-06-01,47.2906
2016-06-02,46.9498
2016-06-03,46.3325
2016-06-06,46.6344
2016-06-07,46.6088
2016-06-08,46.554
2016-06-09,46.1791
2016-06-10,46.056
2016-06-13,44.8567
2016-06-14,44.5763
2016-06-15,44.4541
2016-06-16,45.0804
2016-06-17,44.8467
2016-06-20,44.7931
2016-06-21,45.7952
2016-06-22,45.6264
2016-06-23,46.4427
2016-06-24,44.5763
2016-06-27,43.3272
2016-06-28,44.2296
2016-06-29,45.214
2016-06-30,45.7769
2016-07-01,45.7679
2016-07-05,45.7769
2016-07-06,45.9671
2016-07-07,45.9671
2016-07-08,46.7916
2016-07-11,47.0482
2016-07-12,47.6022
2016-07-13,47.8717
2016-07-14,48.076
2016-07-15,48.0418
2016-07-18,48.2712
2016-07-19,47.4948
2016-07-20,50.0187
2016-07-21,49.9179
2016-07-22,50.6096
2016-07-25,50.7531
2016-07-26,50.7787
2016-07-27,50.2676
2016-07-28,50.2864
2016-07-29,50.7073
2016-08-01,50.6186
2016-08-02,50.6186
2016-08-03,50.9652
2016-08-04,51.3421
2016-08-05,51.852
2016-08-08,51.9428
2016-08-09,52.067
2016-08-10,51.9078
2016-08-11,52.1558
2016-08-12,51.8335
2016-08-15,51.9937
2016-08-16,51.7074
2016-08-17,51.8167
2016-08-18,51.851
2016-08-19,51.8695
2016-08-22,51.9155
2016-08-23,52.1118
2016-08-24,52.1664
2016-08-25,52.3647
2016-08-26,52.2465
2016-08-29,52.3022
2016-08-30,52.1118
2016-08-31,51.7248
2016-09-01,51.8325
2016-09-02,51.9155
2016-09-06,51.8608
2016-09-07,51.9068
2016-09-08,51.6976
2016-09-09,50.6017
2016-09-12,51.3567
2016-09-13,50.8869
2016-09-14,50.6436
2016-09-15,51.4818
2016-09-16,51.5355
2016-09-19,51.2484
2016-09-20,51.1378
2016-09-21,51.9937
2016-09-22,52.0484
2016-09-23,51.6976
2016-09-26,51.221
2016-09-27,52.1664
2016-09-28,52.2388
2016-09-29,51.6693
2016-09-30,51.851
2016-10-03,51.6878
2016-10-04,51.5276
2016-10-05,51.8871
2016-10-06,51.975
2016-10-07,52.0307
2016-10-10,52.2465
2016-10-11,51.4818
2016-10-12,51.4115
2016-10-13,51.2385
2016-10-14,51.6878
2016-10-17,51.5103
2016-10-18,51.9068
2016-10-19,51.7896
2016-10-20,51.5355
2016-10-21,53.7048
2016-10-24,54.9112
2016-10-25,54.9013
2016-10-26,54.5791
2016-10-27,54.0995
2016-10-28,53.8963
2016-10-31,53.9422
