Dates,Price
2015-11-16,57.1594
2015-11-17,56.7489
2015-11-18,58.2363
2015-11-19,58.2363
2015-11-20,61.4125
2015-11-23,61.3273
2015-11-24,61.349
2015-11-25,62.1017
2015-11-27,62.1939
2015-11-30,61.2429
2015-12-01,61.72
2015-12-02,61.4125
2015-12-03,59.7793
2015-12-04,61.2667
2015-12-07,61.0743
2015-12-08,61.124
2015-12-09,59.7932
2015-12-10,59.7059
2015-12-11,58.6131
2015-12-14,59.341
2015-12-15,59.691
2015-12-16,60.766
2015-12-17,60.4358
2015-12-18,59.6473
2015-12-21,60.2404
2015-12-22,61.1914
2015-12-23,59.7386
2015-12-24,58.6438
2015-12-28,59.227
2015-12-29,59.6473
2015-12-30,58.7064
2015-12-31,58.0112
2016-01-04,57.1029
2016-01-05,57.9022
2016-01-06,57.0742
2016-01-07,55.551
2016-01-08,54.6437
2016-01-11,55.2782
2016-01-12,55.6362
2016-01-13,54.5603
2016-01-14,54.3084
2016-01-15,53.4289
2016-01-19,54.1329
2016-01-20,54.7983
2016-01-21,56.2114
2016-01-22,56.507
2016-01-25,56.3434
2016-01-26,56.7221
2016-01-27,55.3071
2016-01-28,56.8083
2016-01-29,57.56
2016-02-01,58.6251
2016-02-02,58.0578
2016-02-03,58.0013
2016-02-04,55.8505
2016-02-05,53.0659
2016-02-08,51.0877
2016-02-09,51.6797
2016-02-10,53.2891
2016-02-11,51.9801
2016-02-12,52.3689
2016-02-16,53.6412
2016-02-17,53.9921
2016-02-18,54.3917
2016-02-19,55.0522
2016-02-22,55.8505
2016-02-23,55.8872
2016-02-24,56.0637
2016-02-25,57.9022
2016-02-26,58.1054
2016-02-29,57.1693
2016-03-01,58.3998
2016-03-02,57.7514
2016-03-03,57.204
2016-03-04,57.0067
2016-03-07,55.1345
2016-03-08,55.6591
2016-03-09,54.2807
2016-03-10,54.7913
2016-03-11,55.909
2016-03-14,56.5893
2016-03-15,57.1406
2016-03-16,57.5669
2016-03-17,58.7956
2016-03-18,58.6191
2016-03-21,60.2275
2016-03-22,60.3931
2016-03-23,58.1064
2016-03-24,57.3696
2016-03-28,57.082
2016-03-29,57.2239
2016-03-30,57.7346
2016-03-31,57.1951
2016-04-01,57.3142
2016-04-04,55.8088
2016-04-05,55.5252
2016-04-06,56.1231
2016-04-07,56.1132
2016-04-08,55.3002
2016-04-11,53.901
2016-04-12,54.486
2016-04-13,55.4439
2016-04-14,55.3616
2016-04-15,55.3705
2016-04-18,55.4339
2016-04-19,55.4251
2016-04-20,55.4786
2016-04-21,55.909
2016-04-22,55.31
2016-04-25,55.0979
2016-04-26,55.4072
2016-04-27,55.1543
2016-04-28,54.477
2016-04-29,54.8489
2016-05-02,55.4528
2016-05-03,55.3904
2016-05-04,55.0076
2016-05-05,54.1528
2016-05-06,54.3739
2016-05-09,54.6447
2016-05-10,55.0889
2016-05-11,53.0531
2016-05-12,53.9664
2016-05-13,53.3327
2016-05-16,53.1731
2016-05-17,53.1364
2016-05-18,52.227
2016-05-19,53.0809
2016-05-20,52.5603
2016-05-23,52.1011
2016-05-24,52.6624
2016-05-25,52.1011
2016-05-26,51.9653
2016-05-27,52.2915
2016-05-31,51.3891
2016-06-01,51.1184
2016-06-02,50.8954
2016-06-03,49.8849
2016-06-06,50.6752
2016-06-07,49.98
2016-06-08,50.5136
2016-06-09,51.2731
2016-06-10,51.4377
2016-06-13,51.2473
2016-06-14,50.5136
2016-06-15,50.6851
2016-06-16,49.9036
2016-06-17,50.1258
2016-06-20,50.7347
2016-06-21,51.1184
2016-06-22,50.9311
2016-06-23,50.5136
2016-06-24,49.0826
2016-06-27,48.4321
2016-06-28,49.5496
2016-06-29,51.4566
2016-06-30,51.5201
2016-07-01,51.9058
