Dates,Price
2015-11-16,0.738896
2015-11-17,0.738896
2015-11-18,0.75713
2015-11-19,0.759296
2015-11-20,0.765897
2015-11-23,0.754435
2015-11-24,0.760545
2015-11-25,0.759546
2015-11-27,0.765897
2015-11-30,0.773925
2015-12-01,0.799046
2015-12-02,0.792936
2015-12-03,0.791339
2015-12-04,0.823471
2015-12-07,0.807844
2015-12-08,0.818809
2015-12-09,0.798069
2015-12-10,0.80469
2015-12-11,0.792706
2015-12-14,0.794655
2015-12-15,0.80444
2015-12-16,0.809302
2015-12-17,0.797101
2015-12-18,0.78418
2015-12-21,0.802721
2015-12-22,0.80344
2015-12-23,0.806655
2015-12-24,0.809302
2015-12-28,0.808573
2015-12-29,0.821744
2015-12-30,0.814695
2015-12-31,0.80419
2016-01-04,0.789852
2016-01-05,0.802462
2016-01-06,0.769331
2016-01-07,0.738777
2016-01-08,0.72296
2016-01-11,0.72419
2016-01-12,0.73636
2016-01-13,0.713934
2016-01-14,0.699516
2016-01-15,0.661433
2016-01-19,0.666765
2016-01-20,0.670461
2016-01-21,0.678326
2016-01-22,0.694124
2016-01-25,0.693424
2016-01-26,0.700264
2016-01-27,0.691937
2016-01-28,0.684479
2016-01-29,0.714653
2016-02-01,0.714913
2016-02-02,0.684719
2016-02-03,0.688043
2016-02-04,0.688292
2016-02-05,0.644868
2016-02-08,0.61539
2016-02-09,0.621882
2016-02-10,0.620514
2016-02-11,0.617287
2016-02-12,0.627802
2016-02-16,0.658508
2016-02-17,0.674901
2016-02-18,0.732907
2016-02-19,0.742672
2016-02-22,0.769091
2016-02-23,0.77101
2016-02-24,0.776393
2016-02-25,0.778108
2016-02-26,0.772957
2016-02-29,0.767932
2016-03-01,0.801942
2016-03-02,0.806655
2016-03-03,0.799526
2016-03-04,0.797071
2016-03-07,0.791936
2016-03-08,0.777509
2016-03-09,0.777012
2016-03-10,0.775793
2016-03-11,0.789072
2016-03-14,0.791039
2016-03-15,0.787075
2016-03-16,0.810539
2016-03-17,0.80369
2016-03-18,0.827984
2016-03-21,0.830431
2016-03-22,0.828963
2016-03-23,0.843142
2016-03-24,0.844381
2016-03-28,0.852977
2016-03-29,0.866617
2016-03-30,0.875704
2016-03-31,0.872537
2016-04-01,0.885238
2016-04-04,0.876712
2016-04-05,0.875464
2016-04-06,0.876712
2016-04-07,0.867595
2016-04-08,0.873286
2016-04-11,0.87869
2016-04-12,0.877691
2016-04-13,0.899728
2016-04-14,0.902146
2016-04-15,0.909182
2016-04-18,0.905239
2016-04-19,0.889184
2016-04-20,0.892627
2016-04-21,0.891651
2016-04-22,0.888175
2016-04-25,0.892627
2016-04-26,0.893356
2016-04-27,0.913597
2016-04-28,0.886455
2016-04-29,0.870071
2016-05-02,0.881584
2016-05-03,0.871059
2016-05-04,0.851229
2016-05-05,0.856043
2016-05-06,0.865119
2016-05-09,0.8639
2016-05-10,0.880587
2016-05-11,0.883061
2016-05-12,0.871059
2016-05-13,1.0036
2016-05-16,1.03315
2016-05-17,1.03533
2016-05-18,1.06182
2016-05-19,1.06641
2016-05-20,1.08569
2016-05-23,1.08739
2016-05-24,1.11362
2016-05-25,1.10896
2016-05-26,1.12072
2016-05-27,1.12691
2016-05-31,1.14701
2016-06-01,1.1493
2016-06-02,1.15737
2016-06-03,1.14091
2016-06-06,1.13531
2016-06-07,1.13751
2016-06-08,1.13381
2016-06-09,1.16325
2016-06-10,1.13431
2016-06-13,1.1487
2016-06-14,1.151
2016-06-15,1.16285
2016-06-16,1.16745
2016-06-17,1.14701
2016-06-20,1.16765
2016-06-21,1.16055
2016-06-22,1.15966
2016-06-23,1.19064
2016-06-24,1.12252
2016-06-27,1.11073
2016-06-28,1.12671
2016-06-29,1.14451
2016-06-30,1.15418
2016-07-01,1.14551
2016-07-05,1.16255
2016-07-06,1.17015
2016-07-07,1.20041
2016-07-08,1.24844
2016-07-11,1.27719
2016-07-12,1.29637
2016-07-13,1.29587
2016-07-14,1.30903
2016-07-15,1.29398
2016-07-18,1.30056
2016-07-19,1.31403
2016-07-20,1.33131
2016-07-21,1.30665
2016-07-22,1.34221
2016-07-25,1.36717
2016-07-26,1.39043
2016-07-27,1.37647
2016-07-28,1.37946
2016-07-29,1.40198
2016-08-01,1.39293
2016-08-02,1.37597
2016-08-03,1.37966
2016-08-04,1.40518
2016-08-05,1.42885
2016-08-08,1.44213
2016-08-09,1.44583
2016-08-10,1.43655
2016-08-11,1.4657
2016-08-12,1.54768
2016-08-15,1.54618
2016-08-16,1.53679
2016-08-17,1.50136
2016-08-18,1.52452
2016-08-19,1.52852
2016-08-22,1.53491
2016-08-23,1.54728
2016-08-24,1.52353
2016-08-25,1.51345
2016-08-26,1.52562
2016-08-29,1.52462
2016-08-30,1.51585
2016-08-31,1.50875
2016-09-01,1.55328
2016-09-02,1.53789
2016-09-06,1.55248
2016-09-07,1.52981
2016-09-08,1.54069
2016-09-09,1.46401
2016-09-12,1.49449
2016-09-13,1.473
2016-09-14,1.4856
2016-09-15,1.54189
2016-09-16,1.54558
2016-09-19,1.56596
2016-09-20,1.55178
2016-09-21,1.59532
2016-09-22,1.5993
2016-09-23,1.59751
2016-09-26,1.58244
2016-09-27,1.63666
2016-09-28,1.64255
2016-09-29,1.65773
2016-09-30,1.68548
2016-10-03,1.68368
2016-10-04,1.67988
2016-10-05,1.67818
2016-10-06,1.65623
2016-10-07,1.64434
2016-10-10,1.65013
2016-10-11,1.62648
2016-10-12,1.63386
2016-10-13,1.6074
2016-10-14,1.62308
2016-10-17,1.6138
2016-10-18,1.63835
2016-10-19,1.63496
2016-10-20,1.66591
2016-10-21,1.66122
2016-10-24,1.7392
2016-10-25,1.76796
2016-10-26,1.77495
2016-10-27,1.7385
2016-10-28,1.73562
2016-10-31,1.7503
2016-11-01,1.69845
2016-11-02,1.69127
2016-11-03,1.6715
2016-11-04,1.66192
2016-11-07,1.753
2016-11-08,1.7503
2016-11-09,1.72084
2016-11-10,1.66691
2016-11-11,2.16367
2016-11-14,2.05712
2016-11-15,2.11994
2016-11-16,2.25382
2016-11-17,2.27249
2016-11-18,2.29636
2016-11-21,2.28707
2016-11-22,2.30345
2016-11-23,2.31495
2016-11-25,2.31955
2016-11-28,2.31835
2016-11-29,2.29706
2016-11-30,2.27119
2016-12-01,2.15878
2016-12-02,2.17874
2016-12-05,2.26332
2016-12-06,2.30056
2016-12-07,2.342
2016-12-08,2.30246
2016-12-09,2.26182
2016-12-12,2.2069
2016-12-13,2.24585
2016-12-14,2.37595
2016-12-15,2.43189
2016-12-16,2.47361
2016-12-19,2.50376
2016-12-20,2.59084
2016-12-21,2.60682
2016-12-22,2.63836
2016-12-23,2.70307
2016-12-27,2.89038
2016-12-28,2.69107
2016-12-29,2.7448
2016-12-30,2.62948
2017-01-03,2.51305
2017-01-04,2.57156
2017-01-05,2.50635
2017-01-06,2.53951
2017-01-09,2.64235
2017-01-10,2.62278
2017-01-11,2.59054
2017-01-12,2.5479
2017-01-13,2.5476
2017-01-17,2.49108
2017-01-18,2.53572
2017-01-19,2.59054
2017-01-20,2.56216
2017-01-23,2.58884
2017-01-24,2.64365
2017-01-25,2.65515
2017-01-26,2.70087
2017-01-27,2.75318
2017-01-30,2.70986
2017-01-31,2.68927
2017-02-01,2.80741
2017-02-02,2.84297
2017-02-03,2.8181
2017-02-06,2.89038
2017-02-07,2.93503
2017-02-08,2.92233
2017-02-09,2.86741
2017-02-10,2.79912
2017-02-13,2.66932
2017-02-14,2.67928
2017-02-15,2.68488
2017-02-16,2.64135
2017-02-17,2.64115
2017-02-21,2.73583
2017-02-22,2.73153
2017-02-23,2.47891
2017-02-24,2.50136
2017-02-27,2.57534
2017-02-28,2.50336
2017-03-01,2.53472
2017-03-02,2.44186
2017-03-03,2.42779
2017-03-06,2.40899
2017-03-07,2.43548
2017-03-08,2.43089
2017-03-09,2.43049
2017-03-10,2.44435
2017-03-13,2.51235
2017-03-14,2.51055
2017-03-15,2.52952
2017-03-16,2.56036
2017-03-17,2.61611
2017-03-20,2.69927
2017-03-21,2.61211
2017-03-22,2.66563
2017-03-23,2.64115
2017-03-24,2.65065
2017-03-27,2.66962
2017-03-28,2.65614
2017-03-29,2.64735
2017-03-30,2.69807
2017-03-31,2.68657
2017-04-03,2.6729
2017-04-04,2.48609
2017-04-05,2.46732
2017-04-06,2.48559
2017-04-07,2.47491
2017-04-10,2.41149
2017-04-11,2.42019
2017-04-12,2.40011
2017-04-13,2.3553
2017-04-17,2.44754
2017-04-18,2.44904
2017-04-19,2.45873
2017-04-20,2.49777
2017-04-21,2.50805
2017-04-24,2.53901
2017-04-25,2.58354
2017-04-26,2.56556
2017-04-27,2.60533
2017-04-28,2.57255
2017-05-01,2.63027
