Dates,Price
2015-11-16,14.2873
2015-11-17,14.2667
2015-11-18,14.738
2015-11-19,14.7867
2015-11-20,14.6673
2015-11-23,14.5167
2015-11-24,14.55
2015-11-25,15.3093
2015-11-27,15.4407
2015-11-30,15.3507
2015-12-01,15.8127
2015-12-02,15.466
2015-12-03,15.514
2015-12-04,15.3587
2015-12-07,15.4087
2015-12-08,15.1147
2015-12-09,14.968
2015-12-10,15.138
2015-12-11,14.468
2015-12-14,14.572
2015-12-15,14.7393
2015-12-16,15.634
2015-12-17,15.5593
2015-12-18,15.364
2015-12-21,15.504
2015-12-22,15.33
2015-12-23,15.3133
2015-12-24,15.3713
2015-12-28,15.2633
2015-12-29,15.8127
2015-12-30,15.8727
2015-12-31,16.0007
2016-01-04,14.894
2016-01-05,14.8953
2016-01-06,14.6027
2016-01-07,14.3767
2016-01-08,14.0667
2016-01-11,13.8567
2016-01-12,13.998
2016-01-13,13.354
2016-01-14,13.7453
2016-01-15,13.666
2016-01-19,13.648
2016-01-20,13.2467
2016-01-21,13.3313
2016-01-22,13.5033
2016-01-25,13.0913
2016-01-26,12.904
2016-01-27,12.538
2016-01-28,12.6467
2016-01-29,12.7407
2016-02-01,13.1293
2016-02-02,12.1853
2016-02-03,11.5653
2016-02-04,11.6887
2016-02-05,10.84
2016-02-08,9.86867
2016-02-09,9.88333
2016-02-10,9.578
2016-02-11,10.0313
2016-02-12,10.0693
2016-02-16,10.3447
2016-02-17,11.2453
2016-02-18,11.118
2016-02-19,11.1053
2016-02-22,11.8493
2016-02-23,11.814
2016-02-24,11.9333
2016-02-25,12.4953
2016-02-26,12.6893
2016-02-29,12.7953
2016-03-01,12.4233
2016-03-02,12.556
2016-03-03,13.0493
2016-03-04,13.4027
2016-03-07,13.686
2016-03-08,13.5067
2016-03-09,13.9147
2016-03-10,13.6787
2016-03-11,13.8333
2016-03-14,14.3433
2016-03-15,14.556
2016-03-16,14.7953
2016-03-17,15.092
2016-03-18,15.516
2016-03-21,15.888
2016-03-22,15.616
2016-03-23,14.8387
2016-03-24,15.1833
2016-03-28,15.3507
2016-03-29,15.342
2016-03-30,15.126
2016-03-31,15.318
2016-04-01,15.8393
2016-04-04,16.466
2016-04-05,17.0313
2016-04-06,17.6947
2016-04-07,17.1467
2016-04-08,16.6713
2016-04-11,16.6613
2016-04-12,16.5213
2016-04-13,16.9687
2016-04-14,16.7907
2016-04-15,16.9673
2016-04-18,16.9253
2016-04-19,16.4913
2016-04-20,16.6647
2016-04-21,16.5527
2016-04-22,16.9167
2016-04-25,16.788
2016-04-26,16.916
2016-04-27,16.7647
2016-04-28,16.514
2016-04-29,16.0507
2016-05-02,16.12
2016-05-03,15.488
2016-05-04,14.8373
2016-05-05,14.102
2016-05-06,14.3287
2016-05-09,13.928
2016-05-10,13.9127
2016-05-11,13.9307
2016-05-12,13.8133
2016-05-13,13.8407
2016-05-16,13.886
2016-05-17,13.644
2016-05-18,14.078
2016-05-19,14.3473
2016-05-20,14.6853
2016-05-23,14.4147
2016-05-24,14.5273
2016-05-25,14.6387
2016-05-26,15.008
2016-05-27,14.8693
2016-05-31,14.882
2016-06-01,14.6373
2016-06-02,14.5973
2016-06-03,14.5993
2016-06-06,14.712
2016-06-07,15.4893
2016-06-08,15.7013
2016-06-09,15.2907
2016-06-10,14.586
2016-06-13,14.5247
2016-06-14,14.33
2016-06-15,14.5133
2016-06-16,14.5287
2016-06-17,14.3653
2016-06-20,14.6467
2016-06-21,14.6407
2016-06-22,13.1107
2016-06-23,13.0933
2016-06-24,12.8767
2016-06-27,13.2367
2016-06-28,13.4527
2016-06-29,14.0107
2016-06-30,14.152
2016-07-01,14.4333
2016-07-05,14.2653
2016-07-06,14.296
2016-07-07,14.396
2016-07-08,14.452
2016-07-11,14.9853
2016-07-12,14.9767
2016-07-13,14.8353
2016-07-14,14.7687
2016-07-15,14.6913
2016-07-18,15.0833
2016-07-19,15.0173
2016-07-20,15.224
2016-07-21,14.7
2016-07-22,14.818
2016-07-25,15.334
2016-07-26,15.3007
2016-07-27,15.2327
2016-07-28,15.374
2016-07-29,15.6527
2016-08-01,15.334
2016-08-02,15.1467
2016-08-03,15.0387
2016-08-04,15.374
2016-08-05,15.3353
2016-08-08,15.0773
2016-08-09,15.272
2016-08-10,15.0433
2016-08-11,14.994
2016-08-12,15.0407
2016-08-15,15.0393
2016-08-16,14.9073
2016-08-17,14.8827
2016-08-18,14.9007
2016-08-19,15
2016-08-22,14.862
2016-08-23,14.9893
2016-08-24,14.8413
2016-08-25,14.7307
2016-08-26,14.666
2016-08-29,14.3467
2016-08-30,14.0893
2016-08-31,14.134
2016-09-01,13.3847
2016-09-02,13.1853
2016-09-06,13.5213
2016-09-07,13.4467
2016-09-08,13.1573
2016-09-09,12.9647
2016-09-12,13.22
2016-09-13,13.07
2016-09-14,13.094
2016-09-15,13.348
2016-09-16,13.6933
2016-09-19,13.756
2016-09-20,13.6427
2016-09-21,13.6813
2016-09-22,13.762
2016-09-23,13.83
2016-09-26,13.9327
2016-09-27,13.7207
2016-09-28,13.7513
2016-09-29,13.38
2016-09-30,13.602
2016-10-03,14.2467
2016-10-04,14.094
2016-10-05,13.8973
2016-10-06,13.4
2016-10-07,13.1073
2016-10-10,13.3967
2016-10-11,13.34
2016-10-12,13.434
2016-10-13,13.3493
2016-10-14,13.1007
2016-10-17,12.9307
2016-10-18,13.2733
2016-10-19,13.5707
2016-10-20,13.2733
2016-10-21,13.3393
2016-10-24,13.5173
2016-10-25,13.4893
2016-10-26,13.4827
2016-10-27,13.6007
2016-10-28,13.3313
2016-10-31,13.182
2016-11-01,12.7193
2016-11-02,12.5347
2016-11-03,12.4947
2016-11-04,12.704
2016-11-07,12.8807
2016-11-08,12.996
2016-11-09,12.6707
2016-11-10,12.3567
2016-11-11,12.5707
2016-11-14,12.0967
2016-11-15,12.2513
2016-11-16,12.262
2016-11-17,12.5773
2016-11-18,12.3347
2016-11-21,12.3133
2016-11-22,12.7447
2016-11-23,12.876
2016-11-25,13.11
2016-11-28,13.0747
2016-11-29,12.638
2016-11-30,12.6267
2016-12-01,12.1253
2016-12-02,12.098
2016-12-05,12.4533
2016-12-06,12.39
2016-12-07,12.876
2016-12-08,12.8193
2016-12-09,12.812
2016-12-12,12.8287
2016-12-13,13.21
2016-12-14,13.246
2016-12-15,13.172
2016-12-16,13.4993
2016-12-19,13.5153
2016-12-20,13.9193
2016-12-21,13.8467
2016-12-22,13.8967
2016-12-23,14.2227
2016-12-27,14.6353
2016-12-28,14.6493
2016-12-29,14.31
2016-12-30,14.246
2017-01-03,14.466
2017-01-04,15.1327
2017-01-05,15.1167
2017-01-06,15.2673
2017-01-09,15.4187
2017-01-10,15.3247
