Dates,Price
2015-11-16,97.8123
2015-11-17,98.2871
2015-11-18,100.765
2015-11-19,95.0669
2015-11-20,97.0998
2015-11-23,96.3675
2015-11-24,97.2902
2015-11-25,98.3049
2015-11-27,98.239
2015-11-30,96.8732
2015-12-01,99.9296
2015-12-02,101.544
2015-12-03,99.2562
2015-12-04,101.621
2015-12-07,100.054
2015-12-08,100.025
2015-12-09,99.3031
2015-12-10,100.301
2015-12-11,100.099
2015-12-14,99.9981
2015-12-15,101.516
2015-12-16,102.559
2015-12-17,102.892
2015-12-18,99.9683
2015-12-21,101.335
2015-12-22,101.363
2015-12-23,102.448
2015-12-24,102.133
2015-12-28,102.123
2015-12-29,103.417
2015-12-30,102.644
2015-12-31,101.544
2016-01-04,100.49
2016-01-05,100.698
2016-01-06,99.6933
2016-01-07,96.7476
2016-01-08,95.0766
2016-01-11,94.5923
2016-01-12,96.8991
2016-01-13,94.275
2016-01-14,95.6082
2016-01-15,94.3131
2016-01-19,97.1842
2016-01-20,99.0644
2016-01-21,97.9549
2016-01-22,98.6671
2016-01-25,97.8582
2016-01-26,98.3421
2016-01-27,96.9562
2016-01-28,96.1213
2016-01-29,99.4063
2016-02-01,100.035
2016-02-02,98.2685
2016-02-03,97.3278
2016-02-04,98.5618
2016-02-05,96.4059
2016-02-08,94.9435
2016-02-09,95.9315
2016-02-10,97.3278
2016-02-11,95.4852
2016-02-12,96.5014
2016-02-16,99.3974
2016-02-17,102.094
2016-02-18,101.373
2016-02-19,101.563
2016-02-22,104.66
2016-02-23,104.546
2016-02-24,103.763
2016-02-25,104.593
2016-02-26,104.715
2016-02-29,102.789
2016-03-01,105.019
2016-03-02,104.66
2016-03-03,105.144
2016-03-04,105.126
2016-03-07,105.107
2016-03-08,105.01
2016-03-09,104.964
2016-03-10,105.819
2016-03-11,108.419
2016-03-14,108.534
2016-03-15,108.191
2016-03-16,108.229
2016-03-17,107.926
2016-03-18,109.816
2016-03-21,109.835
2016-03-22,110.945
2016-03-23,112.476
2016-03-24,111.46
2016-03-28,111.735
2016-03-29,112.505
2016-03-30,112.37
2016-03-31,111.716
2016-04-01,112.589
2016-04-04,112.2
2016-04-05,110.091
2016-04-06,110.955
2016-04-07,109.95
2016-04-08,108.905
2016-04-11,109.484
2016-04-12,109.892
2016-04-13,110.727
2016-04-14,110.911
2016-04-15,110.358
2016-04-18,110.766
2016-04-19,113.092
2016-04-20,116.074
2016-04-21,115.231
2016-04-22,116.238
2016-04-25,115.933
2016-04-26,116.331
2016-04-27,115.088
2016-04-28,114.469
2016-04-29,114.128
2016-05-02,114.489
2016-05-03,114.783
2016-05-04,114.431
2016-05-05,114.668
2016-05-06,114.44
2016-05-09,114.964
2016-05-10,115.761
2016-05-11,113.272
2016-05-12,112.428
2016-05-13,111.791
2016-05-16,113.225
2016-05-17,112.268
2016-05-18,113.102
2016-05-19,112.664
2016-05-20,113.5
2016-05-23,113.018
2016-05-24,114.887
2016-05-25,115.628
2016-05-26,115.24
2016-05-27,116.124
2016-05-31,115.848
2016-06-01,116.597
2016-06-02,117.899
2016-06-03,118.571
2016-06-06,119.741
2016-06-07,118.669
2016-06-08,121.679
2016-06-09,121.935
2016-06-10,120.654
2016-06-13,119.684
2016-06-14,119.485
2016-06-15,119.503
2016-06-16,120.68
2016-06-17,119.903
2016-06-20,120.566
2016-06-21,120.31
2016-06-22,120.084
2016-06-23,121.166
2016-06-24,119.532
2016-06-27,119.388
2016-06-28,120.728
2016-06-29,122.359
2016-06-30,122.932
2016-07-01,122.645
2016-07-05,123.227
2016-07-06,123.957
2016-07-07,122.589
2016-07-08,122.989
2016-07-11,122.192
2016-07-12,121.774
2016-07-13,123.16
2016-07-14,122.627
2016-07-15,123.046
2016-07-18,122.543
2016-07-19,124.139
2016-07-20,124.528
2016-07-21,124.395
2016-07-22,125.117
2016-07-25,123.367
2016-07-26,123.341
2016-07-27,123.323
2016-07-28,124.291
2016-07-29,124.669
2016-08-01,124.954
2016-08-02,124.641
