Dates,Price
2015-11-16,73.8022
2015-11-17,73.7338
2015-11-18,75.2591
2015-11-19,74.9708
2015-11-20,75.0088
2015-11-23,74.9337
2015-11-24,74.6356
2015-11-25,74.4188
2015-11-27,74.6776
2015-11-30,73.9067
2015-12-01,74.7431
2015-12-02,73.9341
2015-12-03,73.2313
2015-12-04,75.2044
2015-12-07,74.4089
2015-12-08,73.9614
2015-12-09,72.8465
2015-12-10,73.0664
2015-12-11,71.1901
2015-12-14,71.9015
2015-12-15,73.5384
2015-12-16,74.6971
2015-12-17,73.6027
2015-12-18,71.3885
2015-12-21,72.1829
2015-12-22,72.3784
2015-12-23,73.4826
2015-12-24,73.2032
2015-12-28,73.4533
2015-12-29,74.0904
2015-12-30,73.2889
2015-12-31,72.5347
2016-01-04,70.8082
2016-01-05,71.3397
2016-01-06,70.4016
2016-01-07,69.0181
2016-01-08,68.1707
2016-01-11,69.143
2016-01-12,69.9266
2016-01-13,68.3751
2016-01-14,69.0276
2016-01-15,67.1888
2016-01-19,66.7764
2016-01-20,66.1111
2016-01-21,66.9348
2016-01-22,68
2016-01-25,67.1018
2016-01-26,67.2368
2016-01-27,66.328
2016-01-28,64.8505
2016-01-29,69.6747
2016-02-01,69.574
2016-02-02,68.6566
2016-02-03,69.574
2016-02-04,68.9191
2016-02-05,66.9172
2016-02-08,63.3885
2016-02-09,63.9145
2016-02-10,65.7504
2016-02-11,64.1752
2016-02-12,66.0015
2016-02-16,66.6416
2016-02-17,67.6451
2016-02-18,66.9054
2016-02-19,67.177
2016-02-22,68.6133
2016-02-23,67.7593
2016-02-24,67.4781
2016-02-25,68.8118
2016-02-26,68.3038
2016-02-29,67.9842
2016-03-01,70.0996
2016-03-02,69.7792
2016-03-03,69.4108
2016-03-04,69.401
2016-03-07,67.563
2016-03-08,66.3221
2016-03-09,66.3778
2016-03-10,65.9477
2016-03-11,67.2688
2016-03-14,67.139
2016-03-15,67.5356
2016-03-16,67.9646
2016-03-17,68.6889
2016-03-18,69.2905
2016-03-21,69.2809
2016-03-22,68.5187
2016-03-23,69.4108
2016-03-24,69.6298
2016-03-28,69.572
2016-03-29,70.7926
2016-03-30,72.1078
2016-03-31,71.8245
2016-04-01,72.8689
2016-04-04,73.0897
2016-04-05,72.2866
2016-04-06,73.4484
2016-04-07,72.8591
2016-04-08,73.2842
2016-04-11,73.0799
2016-04-12,73.7404
2016-04-13,74.8573
2016-04-14,75.44
2016-04-15,75.2073
2016-04-18,76.4953
2016-04-19,75.8347
2016-04-20,76.2117
2016-04-21,75.8738
2016-04-22,74.2955
2016-04-25,73.3837
2016-04-26,73.7502
2016-04-27,73.9671
2016-04-28,72.953
2016-04-29,72.5356
2016-05-02,73.6821
2016-05-03,72.4907
2016-05-04,72.3794
2016-05-05,72.6521
2016-05-06,72.9892
2016-05-09,73.4582
2016-05-10,74.3797
2016-05-11,72.7263
2016-05-12,73.2822
2016-05-13,72.2826
2016-05-16,73.1953
2016-05-17,72.2465
2016-05-18,72.8465
2016-05-19,72.3286
2016-05-20,73.0681
2016-05-23,72.6402
2016-05-24,74.6796
2016-05-25,74.3797
2016-05-26,74.323
2016-05-27,74.9456
2016-05-31,74.2672
2016-06-01,74.532
2016-06-02,75.2181
2016-06-03,75.2093
2016-06-06,75.7722
2016-06-07,75.828
2016-06-08,76.8154
2016-06-09,76.4503
2016-06-10,75.432
2016-06-13,73.7591
2016-06-14,73.9213
2016-06-15,73.5411
2016-06-16,73.7103
2016-06-17,72.4312
2016-06-20,72.7643
2016-06-21,72.7547
2016-06-22,71.9984
2016-06-23,73.5977
2016-06-24,70.6089
2016-06-27,68.9965
2016-06-28,70.7105
2016-06-29,72.1987
2016-06-30,69.7802
2016-07-01,70.0725
2016-07-05,70.2512
2016-07-06,69.6747
2016-07-07,70.1006
2016-07-08,71.8947
2016-07-11,71.9886
2016-07-12,72.8934
2016-07-13,72.8738
2016-07-14,73.5139
2016-07-15,73.6635
2016-07-18,73.6732
2016-07-19,74.0593
2016-07-20,74.662
2016-07-21,74.1236
2016-07-22,75.1798
2016-07-25,74.2672
2016-07-26,73.845
2016-07-27,73.8833
2016-07-28,74.5046
2016-07-29,73.4288
2016-08-01,73.6253
2016-08-02,73.6438
2016-08-03,74.0504
2016-08-04,74.7724
2016-08-05,75.3929
2016-08-08,75.2181
2016-08-09,75.3206
2016-08-10,74.9649
2016-08-11,75.3744
2016-08-12,75.2824
2016-08-15,76.1197
2016-08-16,76.0251
2016-08-17,76.1865
2016-08-18,75.6479
2016-08-19,75.8377
2016-08-22,76.3936
2016-08-23,76.1484
2016-08-24,75.6666
2016-08-25,75.6948
2016-08-26,75.9324
2016-08-29,76.2147
2016-08-30,76.499
2016-08-31,76.2432
2016-09-01,76.6213
2016-09-02,77.2787
2016-09-06,77.7792
2016-09-07,78.4474
2016-09-08,78.1955
2016-09-09,76.6486
2016-09-12,78.1955
2016-09-13,77.1771
2016-09-14,76.7991
2016-09-15,77.2887
2016-09-16,77.3443
2016-09-19,77.7617
2016-09-20,77.7323
2016-09-21,78.428
2016-09-22,78.5599
2016-09-23,77.7878
2016-09-26,77.1012
2016-09-27,77.4301
2016-09-28,78.1955
2016-09-29,77.2037
2016-09-30,77.9385
2016-10-03,78.0919
2016-10-04,77.9667
2016-10-05,78.55
2016-10-06,78.5599
2016-10-07,78.1104
2016-10-10,78.3341
2016-10-11,77.316
2016-10-12,77.5153
2016-10-13,77.1588
2016-10-14,77.7049
2016-10-17,77.4205
2016-10-18,76.8852
2016-10-19,78.0431
2016-10-20,77.7517
2016-10-21,77.6101
2016-10-24,78.381
2016-10-25,77.3063
2016-10-26,77.0444
2016-10-27,77.2037
2016-10-28,77.4879
2016-10-31,77.7617
2016-11-01,76.9211
2016-11-02,75.9422
2016-11-03,76.0055
2016-11-04,75.7332
2016-11-07,77.7617
2016-11-08,78.1104
2016-11-09,78.4474
2016-11-10,77.1588
2016-11-11,77.1683
2016-11-14,73.8695
2016-11-15,74.0464
2016-11-16,75.6304
2016-11-17,76.5645
2016-11-18,76.3271
2016-11-21,77.151
2016-11-22,75.4867
2016-11-23,75.1467
2016-11-25,75.6744
2016-11-28,74.6835
2016-11-29,74.7489
2016-11-30,73.0202
2016-12-01,71.237
2016-12-02,71.5128
2016-12-05,73.0116
2016-12-06,72.824
2016-12-07,74.9024
2016-12-08,74.873
2016-12-09,74.7401
2016-12-12,74.1353
2016-12-13,74.7958
2016-12-14,74.7305
2016-12-15,75.0824
2016-12-16,73.9937
2016-12-19,73.7591
2016-12-20,74.0035
2016-12-21,73.7982
2016-12-22,73.5696
2016-12-23,73.8079
2016-12-27,73.9937
2016-12-28,73.9487
2016-12-29,73.9769
2016-12-30,73.6821
2017-01-03,75.0824
2017-01-04,75.6938
2017-01-05,76.5831
2017-01-06,77.6412
2017-01-09,77.2057
2017-01-10,76.7913
2017-01-11,77.2525
2017-01-12,76.847
2017-01-13,76.6583
2017-01-17,76.7434
2017-01-18,77.056
2017-01-19,77.188
2017-01-20,77.2905
2017-01-23,77.5847
2017-01-24,78.6038
2017-01-25,79.2369
2017-01-26,78.6136
2017-01-27,79.113
2017-01-30,79.0475
2017-01-31,78.1133
2017-02-01,77.8573
2017-02-02,77.7255
2017-02-03,81.2959
2017-02-06,81.0594
2017-02-07,81.0105
2017-02-08,80.3608
2017-02-09,80.8239
2017-02-10,81.1228
2017-02-13,81.6358
