Dates,Price
2015-11-16,16.2899
2015-11-17,16.8667
2015-11-18,17.1513
2015-11-19,17.0858
2015-11-20,16.9087
2015-11-23,16.962
2015-11-24,16.8667
2015-11-25,16.9562
2015-11-27,16.8582
2015-11-30,16.5625
2015-12-01,16.6052
2015-12-02,16.5622
2015-12-03,16.7576
2015-12-04,16.9341
2015-12-07,17.1725
2015-12-08,16.9201
2015-12-09,16.7832
2015-12-10,16.9057
2015-12-11,16.8487
2015-12-14,17.1412
2015-12-15,16.9289
2015-12-16,17.1158
2015-12-17,16.741
2015-12-18,16.7048
2015-12-21,16.9028
2015-12-22,17.1842
2015-12-23,17.3395
2015-12-24,17.2659
2015-12-28,17.2438
2015-12-29,17.4868
2015-12-30,17.5079
2015-12-31,17.4001
2016-01-04,17.4454
2016-01-05,17.8596
2016-01-06,18.0374
2016-01-07,18.4585
2016-01-08,18.0352
2016-01-11,18.2286
2016-01-12,18.0586
2016-01-13,17.575
2016-01-14,17.8987
2016-01-15,17.5779
2016-01-19,17.7574
2016-01-20,17.2685
2016-01-21,17.5639
2016-01-22,17.7935
2016-01-25,18.0098
2016-01-26,18.1661
2016-01-27,18.1517
2016-01-28,18.2286
2016-01-29,18.8353
2016-02-01,19.1594
2016-02-02,18.9786
2016-02-03,18.8102
2016-02-04,18.8529
2016-02-05,19.0177
2016-02-08,18.9891
2016-02-09,18.6791
2016-02-10,18.6735
2016-02-11,18.5409
2016-02-12,18.7852
2016-02-16,18.7051
2016-02-17,18.765
2016-02-18,18.1993
2016-02-19,18.3527
2016-02-22,18.6286
2016-02-23,18.8696
2016-02-24,19.0519
2016-02-25,19.3122
2016-02-26,18.878
2016-02-29,18.8305
2016-03-01,18.8637
2016-03-02,18.792
2016-03-03,18.7731
2016-03-04,18.9545
2016-03-07,19.2704
2016-03-08,19.3122
2016-03-09,19.3092
2016-03-10,19.276
2016-03-11,19.207
2016-03-14,19.261
2016-03-15,19.4698
2016-03-16,19.4414
2016-03-17,19.2874
2016-03-18,19.1441
2016-03-21,19.4352
2016-03-22,19.4066
2016-03-23,19.2897
2016-03-24,19.4447
2016-03-28,19.4779
2016-03-29,19.4538
2016-03-30,19.673
2016-03-31,19.5844
2016-04-01,19.7476
2016-04-04,19.7586
2016-04-05,19.6287
2016-04-06,19.7417
2016-04-07,19.5069
2016-04-08,19.462
2016-04-11,19.2731
2016-04-12,19.673
2016-04-13,19.7733
2016-04-14,19.673
2016-04-15,19.7476
2016-04-18,19.9765
2016-04-19,19.9498
2016-04-20,19.7896
2016-04-21,19.5782
2016-04-22,19.6489
2016-04-25,19.8642
2016-04-26,19.815
2016-04-27,19.8501
2016-04-28,19.7046
2016-04-29,19.121
2016-05-02,19.3268
2016-05-03,19.1581
2016-05-04,19.2128
2016-05-05,19.218
2016-05-06,19.5157
2016-05-09,19.7157
2016-05-10,19.6701
2016-05-11,19.1285
2016-05-12,19.2548
2016-05-13,18.7048
2016-05-16,19.0164
2016-05-17,18.7513
2016-05-18,18.1889
2016-05-19,19.9322
2016-05-20,20.1221
2016-05-23,20.0185
2016-05-24,20.2315
2016-05-25,20.3009
2016-05-26,20.4074
2016-05-27,20.3791
2016-05-31,20.3875
2016-06-01,20.3064
