Dates,Price
2015-11-16,57.8768
2015-11-17,57.2077
2015-11-18,57.7639
2015-11-19,57.4478
2015-11-20,57.0842
2015-11-23,57.4343
2015-11-24,58.5798
2015-11-25,58.1278
2015-11-27,58.1141
2015-11-30,58.4214
2015-12-01,58.5878
2015-12-02,56.912
2015-12-03,56.0961
2015-12-04,56.419
2015-12-07,54.9446
2015-12-08,53.3925
2015-12-09,54.1093
2015-12-10,54.1491
2015-12-11,53.1854
2015-12-14,54.3932
2015-12-15,56.8294
2015-12-16,56.6261
2015-12-17,55.7742
2015-12-18,55.289
2015-12-21,55.2753
2015-12-22,55.5535
2015-12-23,57.3702
2015-12-24,56.7574
2015-12-28,56.3344
2015-12-29,56.63
2015-12-30,55.8812
2015-12-31,55.7675
2016-01-04,55.4163
2016-01-05,55.89
2016-01-06,55.4212
2016-01-07,54.5353
2016-01-08,53.4353
2016-01-11,52.7186
2016-01-12,53.802
2016-01-13,54.1229
2016-01-14,56.6057
2016-01-15,55.5009
2016-01-19,54.6587
2016-01-20,52.3568
2016-01-21,53.0133
2016-01-22,54.7804
2016-01-25,52.9267
2016-01-26,54.8737
2016-01-27,53.8632
2016-01-28,55.0808
2016-01-29,55.6974
2016-02-01,54.5809
2016-02-02,53.3633
2016-02-03,56.1467
2016-02-04,57.1123
2016-02-05,57.2924
2016-02-08,58.0635
2016-02-09,57.8117
2016-02-10,57.2844
2016-02-11,57.4673
2016-02-12,58.4982
2016-02-16,58.6354
2016-02-17,59.1974
2016-02-18,59.5232
2016-02-19,59.5564
2016-02-22,59.4775
2016-02-23,58.6431
2016-02-24,58.8492
2016-02-25,59.2042
2016-02-26,59.0176
2016-02-29,57.8612
2016-03-01,58.6801
2016-03-02,59.7031
2016-03-03,59.4873
2016-03-04,59.4056
2016-03-07,60.9742
2016-03-08,59.6535
2016-03-09,59.4873
2016-03-10,59.3268
2016-03-11,59.3345
2016-03-14,59.4941
2016-03-15,59.7897
2016-03-16,59.8257
2016-03-17,60.7126
2016-03-18,60.7865
2016-03-21,60.3673
2016-03-22,60.7291
2016-03-23,60.4607
2016-03-24,60.626
2016-03-28,60.7992
2016-03-29,61.0219
2016-03-30,61.017
2016-03-31,60.3459
2016-04-01,59.8909
2016-04-04,60.0368
2016-04-05,59.3501
2016-04-06,60.1436
2016-04-07,59.4639
2016-04-08,60.0727
2016-04-11,60.1515
2016-04-12,60.8945
2016-04-13,61.2407
2016-04-14,61.6744
2016-04-15,61.3428
2016-04-18,61.9254
2016-04-19,62.2375
2016-04-20,62.6644
2016-04-21,62.6576
2016-04-22,63.1896
2016-04-25,63.0467
2016-04-26,63.2625
2016-04-27,63.8616
2016-04-28,63.5513
2016-04-29,63.8197
2016-05-02,64.3459
2016-05-03,63.6107
2016-05-04,63.4842
2016-05-05,63.5571
2016-05-06,63.8976
2016-05-09,63.9413
2016-05-10,64.9644
2016-05-11,64.6541
2016-05-12,65.2795
2016-05-13,64.5423
2016-05-16,65.2066
2016-05-17,65.1783
2016-05-18,65.0471
2016-05-19,65.5975
2016-05-20,65.3291
2016-05-23,65.2279
2016-05-24,65.2795
2016-05-25,65.7083
2016-05-26,65.3708
2016-05-27,65.5245
2016-05-31,64.8059
2016-06-01,64.9644
2016-06-02,64.4481
2016-06-03,64.3342
2016-06-06,65.0403
2016-06-07,66.0371
2016-06-08,66.0935
2016-06-09,66.0069
2016-06-10,65.5061
2016-06-13,65.9496
2016-06-14,65.8328
2016-06-15,65.6354
2016-06-16,66.4076
2016-06-17,66.0438
2016-06-20,66.3367
2016-06-21,66.6303
2016-06-22,66.3726
2016-06-23,66.8306
2016-06-24,65.0742
2016-06-27,64.6891
2016-06-28,66.182
2016-06-29,67.312
2016-06-30,68.2417
2016-07-01,68.3147
2016-07-05,67.7167
2016-07-06,68.4985
2016-07-07,67.6738
2016-07-08,68.0968
2016-07-11,68.3517
2016-07-12,69.1228
2016-07-13,69.0723
2016-07-14,69.1228
2016-07-15,69.2463
2016-07-18,69.0275
2016-07-19,68.7738
2016-07-20,68.3808
2016-07-21,68.3205
2016-07-22,68.4411
2016-07-25,67.1205
2016-07-26,66.6303
2016-07-27,66.182
2016-07-28,65.6666
2016-07-29,64.7554
2016-08-01,62.5069
2016-08-02,63.3647
2016-08-03,63.6942
2016-08-04,63.6845
2016-08-05,63.7439
2016-08-08,64.4927
2016-08-09,64.5744
2016-08-10,63.4424
2016-08-11,63.671
2016-08-12,64.5006
2016-08-15,64.4684
2016-08-16,64.5502
2016-08-17,64.6901
2016-08-18,65.2785
2016-08-19,64.4616
2016-08-22,64.6007
2016-08-23,64.4042
2016-08-24,64.6212
2016-08-25,64.2117
2016-08-26,64.0717
2016-08-29,64.4927
2016-08-30,64.2573
2016-08-31,63.9793
2016-09-01,63.7584
2016-09-02,64.1825
2016-09-06,65.0286
2016-09-07,64.7846
2016-09-08,65.3788
2016-09-09,63.7584
2016-09-12,64.0892
2016-09-13,62.5604
2016-09-14,62.112
2016-09-15,62.464
2016-09-16,61.692
2016-09-19,61.548
2016-09-20,60.6017
2016-09-21,61.1591
2016-09-22,61.335
2016-09-23,61.2689
2016-09-26,60.981
2016-09-27,61.1132
2016-09-28,63.8013
2016-09-29,63.4785
2016-09-30,64.0814
2016-10-03,63.9112
2016-10-04,63.3228
2016-10-05,63.8762
2016-10-06,63.9053
2016-10-07,63.6845
2016-10-10,64.9313
2016-10-11,64.4189
2016-10-12,63.9714
2016-10-13,63.5523
2016-10-14,63.5378
2016-10-17,63.5378
2016-10-18,63.705
2016-10-19,63.9997
2016-10-20,64.0289
2016-10-21,63.597
2016-10-24,63.808
2016-10-25,63.671
2016-10-26,63.9422
2016-10-27,63.8178
2016-10-28,62.2452
2016-10-31,61.1755
2016-11-01,61.4177
2016-11-02,61.2689
2016-11-03,61.4235
2016-11-04,61.3564
2016-11-07,62.7383
2016-11-08,63.1896
2016-11-09,63.8849
2016-11-10,64.4772
2016-11-11,63.4561
2016-11-14,63.1662
2016-11-15,64.306
2016-11-16,63.5154
2016-11-17,63.1283
2016-11-18,63.1662
2016-11-21,64.061
2016-11-22,64.2039
2016-11-23,64.3809
2016-11-25,64.5287
2016-11-28,64.0493
2016-11-29,63.6262
2016-11-30,64.6629
2016-12-01,64.624
2016-12-02,64.4694
2016-12-05,64.7962
2016-12-06,64.8555
2016-12-07,65.2339
2016-12-08,65.4196
2016-12-09,65.9223
2016-12-12,67.3879
2016-12-13,68.5734
2016-12-14,67.0933
2016-12-15,67.3208
2016-12-16,67.5376
2016-12-19,66.9755
2016-12-20,66.9814
2016-12-21,66.8715
2016-12-22,67.311
2016-12-23,67.1885
2016-12-27,67.2187
2016-12-28,66.8852
2016-12-29,66.9202
2016-12-30,66.853
2017-01-03,67.3208
2017-01-04,66.5817
2017-01-05,65.5917
2017-01-06,65.5519
2017-01-09,64.4694
2017-01-10,63.6466
2017-01-11,64.2992
2017-01-12,63.951
2017-01-13,63.9598
2017-01-17,64.7077
2017-01-18,63.9073
2017-01-19,62.7598
2017-01-20,63.6194
2017-01-23,62.9348
2017-01-24,63.0272
2017-01-25,63.2119
2017-01-26,63.4036
2017-01-27,63.3383
2017-01-30,62.8551
2017-01-31,62.1374
2017-02-01,61.4332
2017-02-02,61.8106
2017-02-03,61.8786
2017-02-06,61.7084
2017-02-07,61.3078
2017-02-08,60.9062
2017-02-09,61.1745
2017-02-10,61.6822
2017-02-13,62.0429
2017-02-14,61.9059
2017-02-15,62.1597
2017-02-16,61.5149
2017-02-17,61.1122
2017-02-21,61.2095
2017-02-22,60.4928
2017-02-23,61.1269
2017-02-24,60.6056
2017-02-27,60.948
2017-02-28,60.7855
2017-03-01,62.0517
2017-03-02,62.2656
2017-03-03,61.6385
2017-03-06,61.9127
2017-03-07,61.6822
2017-03-08,60.5687
2017-03-09,61.0462
2017-03-10,61.0024
2017-03-13,60.8585
2017-03-14,60.5376
2017-03-15,61.2923
2017-03-16,61.3458
2017-03-17,61.2923
2017-03-20,61.2923
2017-03-21,61.1658
2017-03-22,61.1122
2017-03-23,61.1891
2017-03-24,60.7165
2017-03-27,60.7311
2017-03-28,61.1745
2017-03-29,61.3078
2017-03-30,62.5633
2017-03-31,61.299
2017-04-03,61.3458
2017-04-04,61.5704
2017-04-05,61.688
2017-04-06,62.0469
2017-04-07,61.8621
2017-04-10,62.1374
2017-04-11,61.9194
2017-04-12,62.0197
2017-04-13,61.0617
2017-04-17,60.9781
2017-04-18,60.5813
2017-04-19,60.1651
2017-04-20,60.5531
2017-04-21,60.313
2017-04-24,60.627
2017-04-25,61.0919
2017-04-26,60.8458
2017-04-27,60.7408
2017-04-28,61.0316
2017-05-01,61.3369
2017-05-02,61.3312
2017-05-03,61.8155
2017-05-04,61.0219
2017-05-05,61.3078
2017-05-08,61.9593
2017-05-09,61.5217
2017-05-10,61.8038
2017-05-11,62.3308
2017-05-12,62.2861
2017-05-15,62.4767
2017-05-16,62.2861
2017-05-17,61.8661
2017-05-18,61.6831
2017-05-19,61.8183
2017-05-22,62.0915
2017-05-23,62.3095
2017-05-24,62.0915
2017-05-25,61.6831
